project_id,project_name,state,district,project_type,implementing_agency,project_geometry_type,applicable_land_acquisition_act,total_land_required_hectares,number_of_villages_affected,estimated_project_cost_inr_crore,land_type_required,tribal_area_flag,project_sanction_date,planned_land_acquisition_completion_date,planned_land_acquisition_duration_days
SIH26017-PRJ-000114,Irrigation Canal/Dam Project - Indore (0114),Madhya Pradesh,Indore,Irrigation Canal/Dam,State Irrigation Dept,Linear,"RFCTLARR Act, 2013",1780.03,55,1837.87,Forest,False,2018-10-20,2024-07-04,2084
SIH26017-PRJ-000115,Urban Metro Rail Project - Kamrup (0115),Assam,Kamrup,Urban Metro Rail,State Metro Rail Corp,Linear,"RFCTLARR Act, 2013",11.65,2,3036.19,Agricultural,False,2016-06-08,2020-09-19,1564
SIH26017-PRJ-000116,Urban Water Supply/Sewerage Project - Warangal (0116),Telangana,Warangal,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",35.66,5,1548.81,Homestead-Residential,False,2018-10-19,2020-04-03,532
SIH26017-PRJ-000117,Renewable Energy Park Project - Muzaffarpur (0117),Bihar,Muzaffarpur,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",839.37,24,851.33,Forest,False,2019-08-18,2022-05-16,1002
SIH26017-PRJ-000118,Mining Project Project - Karimnagar (0118),Telangana,Karimnagar,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",307.15,14,3246.68,Agricultural,False,2017-12-08,2025-05-15,2715
SIH26017-PRJ-000119,Urban Metro Rail Project - Chhindwara (0119),Madhya Pradesh,Chhindwara,Urban Metro Rail,State Metro Rail Corp,Linear,"RFCTLARR Act, 2013",119.18,2,12862.98,Government-Wasteland,False,2024-04-20,2025-12-13,602
SIH26017-PRJ-000120,Mining Project Project - Ranchi (0120),Jharkhand,Ranchi,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",795.24,31,4673.63,Government-Wasteland,False,2020-05-30,2028-01-10,2781
SIH26017-PRJ-000121,Railway Line/Doubling Project - Dhanbad (0121),Jharkhand,Dhanbad,Railway Line/Doubling,Indian Railways,Linear,"Railways Act, 1989",469.77,15,1296.97,Agricultural,True,2015-09-10,2020-06-03,1728
SIH26017-PRJ-000122,Industrial Corridor Project - Muzaffarpur (0122),Bihar,Muzaffarpur,Industrial Corridor,State Industrial Dev. Corp,Area,"RFCTLARR Act, 2013",1213.57,38,8096.48,Mixed,False,2023-10-12,2025-05-24,590
SIH26017-PRJ-000123,Airport Expansion Project - Tiruchirappalli (0123),Tamil Nadu,Tiruchirappalli,Airport Expansion,Airports Authority of India,Point,"RFCTLARR Act, 2013",1050.86,30,10129.58,Homestead-Residential,False,2021-12-11,2031-07-28,3516
SIH26017-PRJ-000124,Airport Expansion Project - Madurai (0124),Tamil Nadu,Madurai,Airport Expansion,Airports Authority of India,Point,"RFCTLARR Act, 2013",1261.83,40,1547.79,Mixed,False,2016-07-08,2022-01-21,2023
SIH26017-PRJ-000125,Railway Line/Doubling Project - Ballari (0125),Karnataka,Ballari,Railway Line/Doubling,Indian Railways,Linear,"Railways Act, 1989",560.73,16,4402.35,Agricultural,False,2017-01-01,2020-10-01,1369
SIH26017-PRJ-000126,Special Economic Zone Project - Ballari (0126),Karnataka,Ballari,Special Economic Zone,State SEZ Authority,Area,"RFCTLARR Act, 2013",446.5,15,2795.26,Government-Wasteland,False,2018-08-16,2022-04-19,1342
SIH26017-PRJ-000127,Railway Line/Doubling Project - Ranchi (0127),Jharkhand,Ranchi,Railway Line/Doubling,Indian Railways,Linear,"Railways Act, 1989",324.57,13,8390.94,Homestead-Residential,False,2024-05-09,2034-02-26,3580
SIH26017-PRJ-000128,Urban Water Supply/Sewerage Project - Thiruvananthapuram (0128),Kerala,Thiruvananthapuram,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",7.13,4,1462.99,Mixed,False,2016-11-25,2018-06-21,573
SIH26017-PRJ-000129,Railway Line/Doubling Project - Thiruvananthapuram (0129),Kerala,Thiruvananthapuram,Railway Line/Doubling,Indian Railways,Linear,"Railways Act, 1989",69.48,2,5577.32,Homestead-Residential,True,2019-09-10,2020-07-23,317
SIH26017-PRJ-000130,State Highway Project - Jabalpur (0130),Madhya Pradesh,Jabalpur,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",170.74,3,860.36,Homestead-Residential,False,2019-06-17,2021-12-06,903
SIH26017-PRJ-000131,Railway Line/Doubling Project - Belagavi (0131),Karnataka,Belagavi,Railway Line/Doubling,Indian Railways,Linear,"Railways Act, 1989",518.5,10,3323.73,Government-Wasteland,False,2023-10-16,2025-12-23,799
SIH26017-PRJ-000132,Urban Water Supply/Sewerage Project - Chhindwara (0132),Madhya Pradesh,Chhindwara,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",43.28,5,1538.12,Homestead-Residential,False,2017-01-27,2018-06-12,501
SIH26017-PRJ-000133,Special Economic Zone Project - Bhopal (0133),Madhya Pradesh,Bhopal,Special Economic Zone,State SEZ Authority,Area,"RFCTLARR Act, 2013",1965.94,48,12936.36,Government-Wasteland,False,2017-12-24,2024-04-14,2303
SIH26017-PRJ-000134,Industrial Corridor Project - Chhindwara (0134),Madhya Pradesh,Chhindwara,Industrial Corridor,State Industrial Dev. Corp,Area,"RFCTLARR Act, 2013",1701.96,58,1987.49,Agricultural,True,2019-06-08,2022-11-09,1250
SIH26017-PRJ-000135,Renewable Energy Park Project - Khordha (0135),Odisha,Khordha,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",225.44,9,1452.76,Agricultural,False,2024-06-13,2030-03-01,2087
SIH26017-PRJ-000136,National Highway Project - Gautam Buddh Nagar (0136),Uttar Pradesh,Gautam Buddh Nagar,National Highway,NHAI,Linear,"National Highways Act, 1956",241.19,6,2849.88,Agricultural,False,2019-12-16,2022-02-09,786
SIH26017-PRJ-000137,National Highway Project - Raipur (0137),Chhattisgarh,Raipur,National Highway,NHAI,Linear,"National Highways Act, 1956",81.06,5,2714.16,Agricultural,False,2022-10-29,2026-01-04,1163
SIH26017-PRJ-000138,Airport Expansion Project - Chhindwara (0138),Madhya Pradesh,Chhindwara,Airport Expansion,Airports Authority of India,Point,"RFCTLARR Act, 2013",57.08,7,18316.13,Agricultural,True,2018-10-21,2021-03-14,875
SIH26017-PRJ-000139,Urban Water Supply/Sewerage Project - Udaipur (0139),Rajasthan,Udaipur,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",5.43,1,2049.17,Mixed,True,2022-05-18,2023-05-07,354
SIH26017-PRJ-000140,Urban Water Supply/Sewerage Project - Agra (0140),Uttar Pradesh,Agra,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",59.68,6,2013.98,Homestead-Residential,False,2022-03-17,2025-01-29,1049
SIH26017-PRJ-000141,Irrigation Canal/Dam Project - Paschimi Singhbhum (0141),Jharkhand,Paschimi Singhbhum,Irrigation Canal/Dam,State Irrigation Dept,Linear,"RFCTLARR Act, 2013",936.91,33,232.17,Agricultural,False,2015-09-18,2022-01-24,2320
SIH26017-PRJ-000142,Renewable Energy Park Project - Dibrugarh (0142),Assam,Dibrugarh,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",1534.73,56,1287.72,Mixed,False,2019-02-24,2025-01-12,2149
SIH26017-PRJ-000143,National Highway Project - Karimnagar (0143),Telangana,Karimnagar,National Highway,NHAI,Linear,"National Highways Act, 1956",179.2,9,3078.52,Agricultural,False,2017-07-23,2018-12-14,509
SIH26017-PRJ-000144,State Highway Project - Jabalpur (0144),Madhya Pradesh,Jabalpur,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",194.34,8,1896.61,Agricultural,False,2022-11-26,2025-01-30,796
SIH26017-PRJ-000145,Special Economic Zone Project - Howrah (0145),West Bengal,Howrah,Special Economic Zone,State SEZ Authority,Area,"RFCTLARR Act, 2013",1127.68,33,12398.02,Homestead-Residential,False,2015-09-29,2028-11-20,4801
SIH26017-PRJ-000146,Renewable Energy Park Project - Udaipur (0146),Rajasthan,Udaipur,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",401.36,15,5410.48,Forest,False,2023-12-02,2027-08-14,1351
SIH26017-PRJ-000147,Special Economic Zone Project - Purulia (0147),West Bengal,Purulia,Special Economic Zone,State SEZ Authority,Area,"RFCTLARR Act, 2013",882.3,31,10427.49,Homestead-Residential,False,2019-03-30,2023-08-07,1591
SIH26017-PRJ-000148,Urban Water Supply/Sewerage Project - Indore (0148),Madhya Pradesh,Indore,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",56.5,5,2122.03,Mixed,False,2023-05-16,2025-09-24,862
SIH26017-PRJ-000149,Special Economic Zone Project - Ernakulam (0149),Kerala,Ernakulam,Special Economic Zone,State SEZ Authority,Area,"RFCTLARR Act, 2013",920.47,21,7380.99,Mixed,False,2022-09-05,2032-02-14,3449
SIH26017-PRJ-000150,Renewable Energy Park Project - Vadodara (0150),Gujarat,Vadodara,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",2671.84,74,877.25,Agricultural,False,2020-07-20,2029-09-30,3359
SIH26017-PRJ-000151,Urban Metro Rail Project - Ranchi (0151),Jharkhand,Ranchi,Urban Metro Rail,State Metro Rail Corp,Linear,"RFCTLARR Act, 2013",57.63,7,13246.03,Mixed,False,2018-02-14,2026-07-18,3076
SIH26017-PRJ-000152,Railway Line/Doubling Project - Alwar (0152),Rajasthan,Alwar,Railway Line/Doubling,Indian Railways,Linear,"Railways Act, 1989",215.45,6,8398.29,Agricultural,False,2017-05-22,2017-11-27,189
SIH26017-PRJ-000153,Airport Expansion Project - Sundargarh (0153),Odisha,Sundargarh,Airport Expansion,Airports Authority of India,Point,"RFCTLARR Act, 2013",1116.41,36,14607.76,Homestead-Residential,True,2017-11-03,2027-08-24,3581
SIH26017-PRJ-000154,Urban Water Supply/Sewerage Project - Paschimi Singhbhum (0154),Jharkhand,Paschimi Singhbhum,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",10.22,2,1213.88,Agricultural,True,2023-11-17,2024-04-18,153
SIH26017-PRJ-000155,Mining Project Project - Dhanbad (0155),Jharkhand,Dhanbad,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",1818.43,42,3869.06,Government-Wasteland,False,2016-05-08,2023-04-12,2530
SIH26017-PRJ-000156,State Highway Project - Sundargarh (0156),Odisha,Sundargarh,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",94.77,7,770.43,Forest,False,2023-02-16,2025-11-28,1016
SIH26017-PRJ-000157,Railway Line/Doubling Project - Vadodara (0157),Gujarat,Vadodara,Railway Line/Doubling,Indian Railways,Linear,"Railways Act, 1989",107.93,7,7252.65,Government-Wasteland,False,2015-08-28,2024-01-09,3056
SIH26017-PRJ-000158,Airport Expansion Project - Nashik (0158),Maharashtra,Nashik,Airport Expansion,Airports Authority of India,Point,"RFCTLARR Act, 2013",1053.45,29,6636.06,Homestead-Residential,False,2017-09-15,2018-03-19,185
SIH26017-PRJ-000159,Power Transmission Line Project - Bengaluru Rural (0159),Karnataka,Bengaluru Rural,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",10.9,3,145.72,Agricultural,False,2023-11-29,2025-04-27,515
SIH26017-PRJ-000160,Renewable Energy Park Project - Karimnagar (0160),Telangana,Karimnagar,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",1361.57,40,3670.98,Homestead-Residential,False,2015-01-24,2022-02-27,2591
SIH26017-PRJ-000161,Urban Water Supply/Sewerage Project - Gautam Buddh Nagar (0161),Uttar Pradesh,Gautam Buddh Nagar,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",32.13,6,1298.48,Mixed,False,2015-06-28,2017-09-05,800
SIH26017-PRJ-000162,Special Economic Zone Project - Thiruvananthapuram (0162),Kerala,Thiruvananthapuram,Special Economic Zone,State SEZ Authority,Area,"RFCTLARR Act, 2013",1060.86,36,2676.75,Agricultural,False,2022-11-24,2030-03-21,2674
SIH26017-PRJ-000163,Renewable Energy Park Project - Gautam Buddh Nagar (0163),Uttar Pradesh,Gautam Buddh Nagar,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",511.93,18,2052.06,Government-Wasteland,False,2021-10-30,2024-06-01,945
SIH26017-PRJ-000164,Airport Expansion Project - Raipur (0164),Chhattisgarh,Raipur,Airport Expansion,Airports Authority of India,Point,"RFCTLARR Act, 2013",485.56,15,8765.9,Mixed,False,2017-03-10,2018-06-13,460
SIH26017-PRJ-000165,Renewable Energy Park Project - Varanasi (0165),Uttar Pradesh,Varanasi,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",2865.38,69,1182.58,Homestead-Residential,False,2021-02-23,2025-08-22,1641
SIH26017-PRJ-000166,State Highway Project - Purba Bardhaman (0166),West Bengal,Purba Bardhaman,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",25.88,2,262.82,Government-Wasteland,False,2020-02-24,2021-12-16,661
SIH26017-PRJ-000167,Urban Metro Rail Project - Dibrugarh (0167),Assam,Dibrugarh,Urban Metro Rail,State Metro Rail Corp,Linear,"RFCTLARR Act, 2013",92.66,6,13381.29,Homestead-Residential,False,2023-12-09,2027-03-03,1180
SIH26017-PRJ-000168,Mining Project Project - Hyderabad (0168),Telangana,Hyderabad,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",1815.83,44,2202.05,Agricultural,False,2019-09-11,2025-07-02,2121
SIH26017-PRJ-000169,National Highway Project - Bastar (0169),Chhattisgarh,Bastar,National Highway,NHAI,Linear,"National Highways Act, 1956",370.12,12,5723.62,Agricultural,True,2018-02-01,2020-07-03,883
SIH26017-PRJ-000170,Renewable Energy Park Project - Paschimi Singhbhum (0170),Jharkhand,Paschimi Singhbhum,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",1920.65,67,6119.16,Homestead-Residential,False,2023-06-11,2031-10-28,3061
SIH26017-PRJ-000171,Railway Line/Doubling Project - Chennai (0171),Tamil Nadu,Chennai,Railway Line/Doubling,Indian Railways,Linear,"Railways Act, 1989",248.72,9,7060.23,Mixed,False,2022-08-20,2028-09-10,2213
SIH26017-PRJ-000172,Railway Line/Doubling Project - Dibrugarh (0172),Assam,Dibrugarh,Railway Line/Doubling,Indian Railways,Linear,"Railways Act, 1989",352.55,9,4501.6,Agricultural,False,2020-05-29,2024-07-19,1512
SIH26017-PRJ-000173,Renewable Energy Park Project - Khordha (0173),Odisha,Khordha,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",2750.6,67,9624.63,Government-Wasteland,False,2023-12-01,2027-06-09,1286
SIH26017-PRJ-000174,Urban Water Supply/Sewerage Project - Purulia (0174),West Bengal,Purulia,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",32.72,7,2389.96,Mixed,False,2018-02-26,2023-11-20,2093
SIH26017-PRJ-000175,State Highway Project - Ranchi (0175),Jharkhand,Ranchi,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",108.45,8,1388.14,Homestead-Residential,False,2019-09-24,2023-09-14,1451
SIH26017-PRJ-000176,Urban Water Supply/Sewerage Project - Durg (0176),Chhattisgarh,Durg,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",20.27,5,2336.01,Mixed,False,2016-02-24,2022-07-09,2327
SIH26017-PRJ-000177,Power Transmission Line Project - Tiruchirappalli (0177),Tamil Nadu,Tiruchirappalli,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",21.68,4,1254.36,Mixed,False,2022-12-18,2027-12-04,1812
SIH26017-PRJ-000178,State Highway Project - Bastar (0178),Chhattisgarh,Bastar,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",88.48,3,540.68,Homestead-Residential,True,2022-10-14,2030-06-15,2801
SIH26017-PRJ-000179,Power Transmission Line Project - Thiruvananthapuram (0179),Kerala,Thiruvananthapuram,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",102.97,6,647.14,Homestead-Residential,False,2018-03-06,2023-03-07,1827
SIH26017-PRJ-000180,Power Transmission Line Project - Purba Bardhaman (0180),West Bengal,Purba Bardhaman,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",25.52,2,208.1,Homestead-Residential,True,2015-11-03,2018-03-18,866
SIH26017-PRJ-000181,Special Economic Zone Project - Dibrugarh (0181),Assam,Dibrugarh,Special Economic Zone,State SEZ Authority,Area,"RFCTLARR Act, 2013",126.27,5,14910.17,Forest,False,2023-05-17,2029-07-06,2242
SIH26017-PRJ-000182,National Highway Project - Hyderabad (0182),Telangana,Hyderabad,National Highway,NHAI,Linear,"National Highways Act, 1956",155.07,7,4314.69,Mixed,False,2020-07-11,2022-08-29,779
SIH26017-PRJ-000183,Power Transmission Line Project - Durg (0183),Chhattisgarh,Durg,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",119.91,3,619.9,Agricultural,False,2024-06-01,2026-12-21,933
SIH26017-PRJ-000184,Industrial Corridor Project - Kolkata (0184),West Bengal,Kolkata,Industrial Corridor,State Industrial Dev. Corp,Area,"RFCTLARR Act, 2013",3778.94,96,4345.29,Forest,False,2022-08-07,2030-01-30,2733
SIH26017-PRJ-000185,Mining Project Project - Nagpur (0185),Maharashtra,Nagpur,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",1364.03,44,3517.77,Mixed,True,2017-07-20,2018-01-17,181
SIH26017-PRJ-000186,Power Transmission Line Project - Surat (0186),Gujarat,Surat,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",5.95,3,132.08,Government-Wasteland,False,2017-07-31,2019-04-22,630
SIH26017-PRJ-000187,Power Transmission Line Project - Hyderabad (0187),Telangana,Hyderabad,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",73.49,11,1473.99,Government-Wasteland,False,2022-12-16,2026-05-15,1246
SIH26017-PRJ-000188,Renewable Energy Park Project - Varanasi (0188),Uttar Pradesh,Varanasi,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",2849.9,78,4684.91,Government-Wasteland,False,2022-07-15,2025-07-29,1110
SIH26017-PRJ-000189,Industrial Corridor Project - Patna (0189),Bihar,Patna,Industrial Corridor,State Industrial Dev. Corp,Area,"RFCTLARR Act, 2013",1568.85,33,3660.43,Mixed,False,2018-04-13,2022-10-01,1632
SIH26017-PRJ-000190,Renewable Energy Park Project - Purba Bardhaman (0190),West Bengal,Purba Bardhaman,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",397.33,14,8706.37,Agricultural,True,2018-12-22,2020-02-12,417
SIH26017-PRJ-000191,Urban Water Supply/Sewerage Project - Muzaffarpur (0191),Bihar,Muzaffarpur,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",40.61,9,697.47,Government-Wasteland,False,2021-03-18,2025-01-27,1411
SIH26017-PRJ-000192,Industrial Corridor Project - Lucknow (0192),Uttar Pradesh,Lucknow,Industrial Corridor,State Industrial Dev. Corp,Area,"RFCTLARR Act, 2013",905.94,21,14562.32,Homestead-Residential,False,2016-02-04,2020-10-16,1716
SIH26017-PRJ-000193,Urban Water Supply/Sewerage Project - Lucknow (0193),Uttar Pradesh,Lucknow,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",49.19,4,1793.37,Government-Wasteland,False,2022-05-12,2026-04-28,1447
SIH26017-PRJ-000194,Urban Water Supply/Sewerage Project - Kamrup (0194),Assam,Kamrup,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",22.72,2,2368.5,Agricultural,False,2018-01-03,2020-10-19,1020
SIH26017-PRJ-000195,Urban Water Supply/Sewerage Project - Jodhpur (0195),Rajasthan,Jodhpur,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",21.91,4,2077.42,Homestead-Residential,False,2017-06-02,2025-03-15,2843
SIH26017-PRJ-000196,Mining Project Project - Ranchi (0196),Jharkhand,Ranchi,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",1460.05,38,2241.63,Government-Wasteland,False,2022-03-16,2031-12-16,3562
SIH26017-PRJ-000197,Industrial Corridor Project - Thiruvananthapuram (0197),Kerala,Thiruvananthapuram,Industrial Corridor,State Industrial Dev. Corp,Area,"RFCTLARR Act, 2013",1753.23,40,10903.82,Government-Wasteland,False,2016-10-22,2023-09-17,2521
SIH26017-PRJ-000198,Power Transmission Line Project - Bastar (0198),Chhattisgarh,Bastar,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",96.0,6,416.15,Agricultural,False,2021-04-22,2022-06-18,422
SIH26017-PRJ-000199,Industrial Corridor Project - Khordha (0199),Odisha,Khordha,Industrial Corridor,State Industrial Dev. Corp,Area,"RFCTLARR Act, 2013",3293.29,79,9532.57,Forest,False,2024-01-14,2026-11-22,1043
SIH26017-PRJ-000200,State Highway Project - Thiruvananthapuram (0200),Kerala,Thiruvananthapuram,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",99.82,8,1471.33,Forest,True,2021-06-09,2027-10-03,2307
SIH26017-PRJ-000201,Irrigation Canal/Dam Project - Pune (0201),Maharashtra,Pune,Irrigation Canal/Dam,State Irrigation Dept,Linear,"RFCTLARR Act, 2013",1074.87,35,1406.01,Government-Wasteland,False,2021-12-05,2029-01-29,2612
SIH26017-PRJ-000202,Power Transmission Line Project - Bastar (0202),Chhattisgarh,Bastar,Power Transmission Line,POWERGRID/State Transco,Linear,"RFCTLARR Act, 2013",13.61,3,622.48,Homestead-Residential,False,2022-05-31,2025-11-16,1265
SIH26017-PRJ-000203,Renewable Energy Park Project - Surat (0203),Gujarat,Surat,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",2975.15,68,3206.32,Agricultural,False,2023-09-13,2030-04-11,2402
SIH26017-PRJ-000204,Railway Line/Doubling Project - Dibrugarh (0204),Assam,Dibrugarh,Railway Line/Doubling,Indian Railways,Linear,"Railways Act, 1989",358.06,10,1404.48,Agricultural,True,2020-09-01,2023-01-28,879
SIH26017-PRJ-000205,Airport Expansion Project - Alwar (0205),Rajasthan,Alwar,Airport Expansion,Airports Authority of India,Point,"RFCTLARR Act, 2013",613.0,18,12486.24,Homestead-Residential,False,2024-01-03,2024-05-16,134
SIH26017-PRJ-000206,Urban Metro Rail Project - Pune (0206),Maharashtra,Pune,Urban Metro Rail,State Metro Rail Corp,Linear,"RFCTLARR Act, 2013",5.67,7,6081.05,Homestead-Residential,False,2019-03-25,2023-01-27,1404
SIH26017-PRJ-000207,Renewable Energy Park Project - Tiruchirappalli (0207),Tamil Nadu,Tiruchirappalli,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",1838.69,42,7457.99,Agricultural,False,2017-10-04,2022-02-06,1586
SIH26017-PRJ-000208,Renewable Energy Park Project - Nagpur (0208),Maharashtra,Nagpur,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",2136.17,53,7708.34,Mixed,False,2022-08-18,2028-09-18,2223
SIH26017-PRJ-000209,Urban Metro Rail Project - Cuttack (0209),Odisha,Cuttack,Urban Metro Rail,State Metro Rail Corp,Linear,"RFCTLARR Act, 2013",58.37,2,6609.91,Government-Wasteland,False,2022-05-17,2026-05-05,1449
SIH26017-PRJ-000210,Industrial Corridor Project - Dibrugarh (0210),Assam,Dibrugarh,Industrial Corridor,State Industrial Dev. Corp,Area,"RFCTLARR Act, 2013",4204.35,100,952.5,Agricultural,False,2018-01-01,2022-04-18,1568
SIH26017-PRJ-000211,National Highway Project - Indore (0211),Madhya Pradesh,Indore,National Highway,NHAI,Linear,"National Highways Act, 1956",393.27,6,1569.59,Forest,False,2015-12-21,2017-12-31,741
SIH26017-PRJ-000212,State Highway Project - Alwar (0212),Rajasthan,Alwar,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",110.82,4,813.31,Agricultural,False,2016-07-08,2018-05-13,674
SIH26017-PRJ-000213,Industrial Corridor Project - Bengaluru Rural (0213),Karnataka,Bengaluru Rural,Industrial Corridor,State Industrial Dev. Corp,Area,"RFCTLARR Act, 2013",2818.91,82,13039.79,Government-Wasteland,False,2020-07-12,2025-01-23,1656
SIH26017-PRJ-000214,National Highway Project - Pune (0214),Maharashtra,Pune,National Highway,NHAI,Linear,"National Highways Act, 1956",134.36,14,663.14,Homestead-Residential,False,2016-05-02,2019-02-04,1008
SIH26017-PRJ-000215,Irrigation Canal/Dam Project - Kalahandi (0215),Odisha,Kalahandi,Irrigation Canal/Dam,State Irrigation Dept,Linear,"RFCTLARR Act, 2013",1680.08,50,4617.71,Agricultural,False,2018-12-16,2021-12-20,1100
SIH26017-PRJ-000216,State Highway Project - Dibrugarh (0216),Assam,Dibrugarh,State Highway,State PWD,Linear,"RFCTLARR Act, 2013",147.55,10,1122.63,Agricultural,False,2021-04-06,2028-06-02,2614
SIH26017-PRJ-000217,Renewable Energy Park Project - Madurai (0217),Tamil Nadu,Madurai,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",682.46,23,3175.88,Mixed,True,2019-10-12,2023-11-20,1500
SIH26017-PRJ-000218,Special Economic Zone Project - Surat (0218),Gujarat,Surat,Special Economic Zone,State SEZ Authority,Area,"RFCTLARR Act, 2013",841.95,27,12486.4,Government-Wasteland,False,2018-09-14,2022-06-29,1384
SIH26017-PRJ-000219,Irrigation Canal/Dam Project - Dibrugarh (0219),Assam,Dibrugarh,Irrigation Canal/Dam,State Irrigation Dept,Linear,"RFCTLARR Act, 2013",1365.46,41,2596.99,Agricultural,False,2020-05-09,2025-12-22,2053
SIH26017-PRJ-000220,Mining Project Project - Jabalpur (0220),Madhya Pradesh,Jabalpur,Mining Project,State Mining Corp,Area,"Coal Bearing Areas Acquisition Act, 1957",1558.55,38,3431.31,Homestead-Residential,False,2019-04-25,2023-07-17,1544
SIH26017-PRJ-000221,Urban Water Supply/Sewerage Project - Patna (0221),Bihar,Patna,Urban Water Supply/Sewerage,State Water/Municipal Board,Point,"RFCTLARR Act, 2013",22.62,1,1760.42,Mixed,False,2023-06-21,2025-07-16,756
SIH26017-PRJ-000222,Airport Expansion Project - Purulia (0222),West Bengal,Purulia,Airport Expansion,Airports Authority of India,Point,"RFCTLARR Act, 2013",1359.34,51,10624.95,Mixed,False,2017-09-13,2023-05-31,2086
SIH26017-PRJ-000223,Irrigation Canal/Dam Project - Bastar (0223),Chhattisgarh,Bastar,Irrigation Canal/Dam,State Irrigation Dept,Linear,"RFCTLARR Act, 2013",506.89,18,1502.94,Mixed,True,2019-02-16,2021-01-28,712
SIH26017-PRJ-000224,Railway Line/Doubling Project - Gautam Buddh Nagar (0224),Uttar Pradesh,Gautam Buddh Nagar,Railway Line/Doubling,Indian Railways,Linear,"Railways Act, 1989",124.26,4,918.42,Mixed,False,2018-01-20,2021-04-28,1194
SIH26017-PRJ-000225,Renewable Energy Park Project - Gaya (0225),Bihar,Gaya,Renewable Energy Park,State Renewable Energy Agency,Area,"RFCTLARR Act, 2013",1598.89,43,4963.91,Agricultural,False,2016-08-22,2018-05-02,618
