project_id,total_compensation_assessed_inr,compensation_disbursed_inr,percent_disbursed,number_of_beneficiaries,number_paid,disbursement_start_date,last_disbursement_date,solatium_percent,market_value_multiplier,compensation_dispute_flag,mode_of_payment,pending_compensation_inr
SIH26017-PRJ-000192,15789292046.71,10863032928.14,68.8,975,665,2018-02-22,2026-08-15,100.0,1.93,False,Mixed,4926259118.57
SIH26017-PRJ-000193,635544347.67,464582918.15,73.1,46,33,2024-11-19,2026-08-15,100.0,1.61,False,Direct Bank Transfer,170961429.52
SIH26017-PRJ-000194,311514880.05,240177972.52,77.1,36,28,2019-06-21,2026-08-15,100.0,1.0,False,Direct Bank Transfer,71336907.53
SIH26017-PRJ-000195,183995346.41,131004686.64,71.2,28,21,2020-01-18,2026-08-15,100.0,1.34,False,Mixed,52990659.77
SIH26017-PRJ-000196,1866535717.13,0.0,0.0,1769,0,,,100.0,1.97,False,Direct Bank Transfer,1866535717.13
SIH26017-PRJ-000197,18320223122.79,12347830384.76,67.4,2140,1468,2019-07-07,2026-08-15,100.0,1.36,False,Land-for-Land,5972392738.03
SIH26017-PRJ-000198,1688389436.56,0.0,0.0,116,0,,,100.0,1.22,True,Cheque,1688389436.56
SIH26017-PRJ-000199,51719625031.47,0.0,0.0,3883,0,,,100.0,1.37,False,Mixed,51719625031.47
SIH26017-PRJ-000200,148847474.79,103002452.55,69.2,122,84,2024-09-02,2025-12-09,100.0,1.26,True,Direct Bank Transfer,45845022.24
SIH26017-PRJ-000201,18487075523.91,8892283327.0,48.1,1277,610,2024-09-03,2025-07-30,100.0,1.0,False,Direct Bank Transfer,9594792196.91
SIH26017-PRJ-000202,177634720.86,111021700.54,62.5,19,12,2024-02-28,2026-08-15,100.0,1.75,False,Direct Bank Transfer,66613020.32
SIH26017-PRJ-000203,17533415135.46,596136114.61,3.4,3556,124,,2025-04-10,100.0,1.3,False,Direct Bank Transfer,16937279020.85
SIH26017-PRJ-000204,7499614981.38,644966888.4,8.6,462,40,,2023-12-23,100.0,1.66,False,Direct Bank Transfer,6854648092.98
SIH26017-PRJ-000205,4483796963.43,0.0,0.0,726,0,,,100.0,2.0,False,Mixed,4483796963.43
SIH26017-PRJ-000206,29584004.9,2366720.39,8.0,6,0,,2023-05-03,100.0,1.69,False,Cheque,27217284.51
SIH26017-PRJ-000207,12076341597.95,0.0,0.0,2131,0,,,100.0,1.25,False,Direct Bank Transfer,12076341597.95
SIH26017-PRJ-000208,26971424165.59,1483428329.11,5.5,2505,144,,2024-11-05,100.0,1.77,False,Direct Bank Transfer,25487995836.48
SIH26017-PRJ-000209,1404732759.3,1067596897.07,76.0,65,48,2024-09-22,2026-08-15,100.0,1.19,False,Direct Bank Transfer,337135862.23
SIH26017-PRJ-000210,81519351180.0,48667052654.46,59.7,4500,2772,2020-06-06,2026-08-15,100.0,1.32,False,Direct Bank Transfer,32852298525.54
SIH26017-PRJ-000211,3817676313.08,3264113247.68,85.5,450,404,2017-02-07,2026-08-15,100.0,1.3,False,Direct Bank Transfer,553563065.4
SIH26017-PRJ-000212,1158527192.22,338289940.13,29.2,153,45,2017-09-29,2023-04-03,100.0,1.46,False,Cheque,820237252.09
SIH26017-PRJ-000213,50553850313.51,32657787302.53,64.6,3405,2132,2022-08-03,2026-08-15,100.0,1.35,False,Direct Bank Transfer,17896063010.98
SIH26017-PRJ-000214,833226199.67,518266696.19,62.2,156,102,2018-01-02,2026-08-15,100.0,1.51,False,Direct Bank Transfer,314959503.48
SIH26017-PRJ-000215,11838300174.17,733974610.8,6.2,1983,121,,2023-03-20,100.0,1.3,True,Mixed,11104325563.37
SIH26017-PRJ-000216,2947632328.82,1205581622.49,40.9,181,73,2024-10-13,2025-06-06,100.0,1.28,False,Cheque,1742050706.33
SIH26017-PRJ-000217,7242283858.3,5402743758.29,74.6,838,622,2021-02-05,2026-08-15,100.0,1.69,False,Direct Bank Transfer,1839540100.01
SIH26017-PRJ-000218,1631915108.28,96282991.39,5.9,957,56,,2023-02-07,100.0,1.39,False,Land-for-Land,1535632116.89
SIH26017-PRJ-000219,1438910837.87,1021626694.89,71.0,1612,1202,2022-10-30,2026-08-15,100.0,1.29,True,Direct Bank Transfer,417284142.98
SIH26017-PRJ-000220,25473920445.58,21321671412.95,83.7,1824,1468,2021-04-24,2026-08-15,100.0,1.77,False,Direct Bank Transfer,4152249032.63
SIH26017-PRJ-000221,230631240.63,210566322.7,91.3,30,28,2024-05-03,2026-08-15,100.0,1.62,False,Cheque,20064917.93
SIH26017-PRJ-000222,23666964358.36,14555183080.39,61.5,1580,948,2019-12-21,2026-08-15,100.0,1.85,False,Land-for-Land,9111781277.97
SIH26017-PRJ-000223,1931358923.51,0.0,0.0,660,0,,,100.0,1.6,False,Direct Bank Transfer,1931358923.51
SIH26017-PRJ-000224,2140210478.97,1478885440.97,69.1,165,114,2019-08-15,2026-08-15,100.0,1.47,False,Direct Bank Transfer,661325038.0
SIH26017-PRJ-000225,15715210632.05,11142084338.12,70.9,1937,1286,2017-08-22,2026-08-15,100.0,1.63,False,Mixed,4573126293.93
SIH26017-PRJ-000226,608505312.73,518446526.45,85.2,355,300,2021-12-19,2026-08-15,100.0,1.69,False,Direct Bank Transfer,90058786.28
SIH26017-PRJ-000227,91668227.68,47392473.71,51.7,16,8,2024-10-08,2025-06-03,100.0,1.49,False,Mixed,44275753.97
SIH26017-PRJ-000228,2312511081.27,1010567342.51,43.7,132,56,2026-01-08,2026-01-17,100.0,1.16,False,Direct Bank Transfer,1301943738.76
SIH26017-PRJ-000229,6308219796.99,3299198953.83,52.3,394,211,2022-11-16,2025-05-20,100.0,1.62,False,Direct Bank Transfer,3009020843.16
SIH26017-PRJ-000230,1497732790.73,760848257.69,50.8,198,99,2018-12-20,2024-08-12,100.0,1.47,False,Direct Bank Transfer,736884533.04
SIH26017-PRJ-000231,5278921606.48,3193747571.92,60.5,301,176,2021-05-13,2026-08-15,100.0,1.38,False,Direct Bank Transfer,2085174034.56
SIH26017-PRJ-000232,82040370.07,36672045.42,44.7,98,43,2024-08-31,2025-06-03,100.0,1.87,False,Direct Bank Transfer,45368324.65
SIH26017-PRJ-000233,800337345.49,601853683.81,75.2,202,159,2023-11-22,2025-10-18,100.0,1.83,False,Cheque,198483661.68
SIH26017-PRJ-000234,46270378.67,23320270.85,50.4,15,8,2020-07-09,2026-08-15,100.0,1.56,False,Direct Bank Transfer,22950107.82
SIH26017-PRJ-000235,95360659.26,69422559.94,72.8,114,82,2019-10-10,2025-08-31,100.0,1.14,False,Land-for-Land,25938099.32
SIH26017-PRJ-000236,10196248743.41,3079267120.51,30.2,514,154,2024-09-02,2025-05-04,100.0,1.12,False,Direct Bank Transfer,7116981622.9
SIH26017-PRJ-000237,142298830.3,108716306.35,76.4,9,7,2016-09-04,2026-08-15,100.0,1.66,True,Direct Bank Transfer,33582523.95
SIH26017-PRJ-000238,8029277372.19,5845313926.95,72.8,1029,766,2022-02-06,2025-09-11,100.0,1.71,False,Mixed,2183963445.24
SIH26017-PRJ-000239,339479509.14,258004426.95,76.0,69,52,2022-10-08,2026-08-15,100.0,1.23,False,Cheque,81475082.19
SIH26017-PRJ-000240,439570452.81,290116498.85,66.0,55,38,2021-02-02,2026-08-15,100.0,1.24,True,Direct Bank Transfer,149453953.96
SIH26017-PRJ-000241,13220928253.67,9902475262.0,74.9,2154,1586,2024-12-31,2025-10-18,100.0,1.68,False,Direct Bank Transfer,3318452991.67
SIH26017-PRJ-000242,619781060.04,42145112.08,6.8,170,11,,2025-05-01,100.0,1.35,False,Direct Bank Transfer,577635947.96
SIH26017-PRJ-000243,52929736524.56,3705081556.72,7.0,4500,321,,2025-01-24,100.0,1.8,False,Mixed,49224654967.84
SIH26017-PRJ-000244,380068269.83,300634001.44,79.1,53,44,2019-12-24,2026-08-15,100.0,1.29,False,Direct Bank Transfer,79434268.39
SIH26017-PRJ-000245,17920050330.69,11773473067.26,65.7,955,655,2022-08-01,2026-08-15,100.0,1.29,False,Mixed,6146577263.43
SIH26017-PRJ-000246,3034540435.3,1623479132.89,53.5,2514,1321,2021-03-26,2025-09-29,100.0,1.29,False,Cheque,1411061302.41
SIH26017-PRJ-000247,1625498814.35,1072829217.47,66.0,173,112,2017-02-10,2026-08-15,100.0,1.16,False,Direct Bank Transfer,552669596.88
SIH26017-PRJ-000248,1379169663.09,924043674.27,67.0,130,88,2018-12-18,2026-08-15,100.0,1.93,False,Land-for-Land,455125988.82
SIH26017-PRJ-000249,1661096118.83,1139511937.52,68.6,119,81,2021-04-28,2026-08-15,100.0,1.2,False,Direct Bank Transfer,521584181.31
SIH26017-PRJ-000250,481243124.16,292595819.49,60.8,46,27,2021-01-11,2026-08-15,100.0,2.0,False,Land-for-Land,188647304.67
SIH26017-PRJ-000251,695166097.81,563084539.23,81.0,91,73,2017-06-05,2026-08-15,100.0,1.32,False,Direct Bank Transfer,132081558.58
SIH26017-PRJ-000252,863512032.68,674402897.52,78.1,44,35,2020-02-28,2026-08-15,100.0,1.38,False,Direct Bank Transfer,189109135.16
SIH26017-PRJ-000253,2307295319.96,0.0,0.0,910,0,,,100.0,1.58,False,Cheque,2307295319.96
SIH26017-PRJ-000254,4432084813.86,3266446507.81,73.7,230,177,2021-03-16,2026-08-15,100.0,1.43,False,Mixed,1165638306.05
SIH26017-PRJ-000255,2779062986.54,1406205871.19,50.6,157,80,2021-08-31,2025-02-09,100.0,1.21,False,Direct Bank Transfer,1372857115.35
SIH26017-PRJ-000256,84481118.01,53392066.58,63.2,67,42,2022-05-28,2026-08-15,100.0,1.31,False,Direct Bank Transfer,31089051.43
SIH26017-PRJ-000257,1520835316.46,1047855533.04,68.9,87,60,2025-09-01,2026-08-15,100.0,1.33,False,Direct Bank Transfer,472979783.42
SIH26017-PRJ-000258,2393166159.74,1634532487.1,68.3,424,293,2017-09-03,2026-08-15,100.0,1.19,False,Direct Bank Transfer,758633672.64
SIH26017-PRJ-000259,19885556.65,15232336.39,76.6,5,4,2018-12-26,2026-08-15,100.0,1.52,False,Mixed,4653220.26
SIH26017-PRJ-000260,39031347827.26,21662398044.13,55.5,2047,1121,2023-02-17,2025-02-21,100.0,1.92,True,Direct Bank Transfer,17368949783.13
SIH26017-PRJ-000261,8443076538.44,4964529004.6,58.8,1992,1208,2019-07-30,2026-08-15,100.0,1.65,False,Land-for-Land,3478547533.84
SIH26017-PRJ-000262,64151162.64,53758674.29,83.8,15,12,2016-11-23,2026-08-15,100.0,1.99,False,Direct Bank Transfer,10392488.35
SIH26017-PRJ-000263,1768551453.89,1729643321.9,97.8,116,115,2022-03-09,2026-08-15,100.0,1.42,True,Direct Bank Transfer,38908131.99
SIH26017-PRJ-000264,1196266515.4,0.0,0.0,410,0,,,100.0,1.33,False,Land-for-Land,1196266515.4
SIH26017-PRJ-000265,786261757.04,582619961.97,74.1,138,99,2020-11-28,2026-08-15,100.0,1.35,True,Direct Bank Transfer,203641795.07
SIH26017-PRJ-000266,45582287731.6,0.0,0.0,4500,0,,,100.0,1.73,False,Land-for-Land,45582287731.6
SIH26017-PRJ-000267,1799417581.85,0.0,0.0,1057,0,,,100.0,1.27,False,Direct Bank Transfer,1799417581.85
SIH26017-PRJ-000268,1746336290.22,0.0,0.0,95,0,,,100.0,1.71,False,Land-for-Land,1746336290.22
SIH26017-PRJ-000269,938327937.2,53484692.42,5.7,76,4,,2024-12-03,100.0,1.47,False,Mixed,884843244.78
SIH26017-PRJ-000270,22188799538.95,0.0,0.0,3885,0,,,100.0,1.24,False,Direct Bank Transfer,22188799538.95
SIH26017-PRJ-000271,121328749.9,86992713.68,71.7,75,53,2019-05-24,2026-08-15,100.0,1.76,False,Land-for-Land,34336036.22
SIH26017-PRJ-000272,694019681.14,417799848.05,60.2,75,47,2019-10-24,2026-08-15,100.0,2.0,False,Land-for-Land,276219833.09
SIH26017-PRJ-000273,543365987.99,342320572.43,63.0,50,31,2024-02-21,2026-08-15,100.0,1.77,False,Direct Bank Transfer,201045415.56
SIH26017-PRJ-000274,9452819568.06,4045806775.13,42.8,1289,563,2022-05-21,2024-07-13,100.0,1.75,True,Direct Bank Transfer,5407012792.93
SIH26017-PRJ-000275,10763383372.62,581222702.12,5.4,988,53,,2022-01-23,100.0,1.42,False,Direct Bank Transfer,10182160670.5
SIH26017-PRJ-000276,4071588544.67,1217404974.86,29.9,362,107,2025-06-24,2024-11-02,100.0,1.44,False,Direct Bank Transfer,2854183569.81
SIH26017-PRJ-000277,45074033423.28,30064380293.33,66.7,2938,2017,2024-02-17,2026-08-15,100.0,1.0,False,Direct Bank Transfer,15009653129.95
SIH26017-PRJ-000278,648000707.01,471096514.0,72.7,133,93,2018-12-20,2026-08-15,100.0,1.0,False,Cheque,176904193.01
SIH26017-PRJ-000279,7459548316.45,3267282162.61,43.8,885,391,2020-02-17,2024-07-29,100.0,1.45,False,Mixed,4192266153.84
SIH26017-PRJ-000280,53584221.73,41099098.07,76.7,9,7,2022-07-19,2026-08-15,100.0,1.93,False,Land-for-Land,12485123.66
SIH26017-PRJ-000281,51915161804.97,0.0,0.0,3371,0,,,100.0,1.8,False,Mixed,51915161804.97
SIH26017-PRJ-000282,24651589856.82,0.0,0.0,1710,0,,,100.0,1.83,False,Direct Bank Transfer,24651589856.82
SIH26017-PRJ-000283,2185399544.08,0.0,0.0,128,0,,,100.0,1.72,False,Direct Bank Transfer,2185399544.08
SIH26017-PRJ-000284,950113627.28,615673630.48,64.8,143,86,2020-03-16,2026-08-15,100.0,1.58,False,Direct Bank Transfer,334439996.8
SIH26017-PRJ-000285,534781615.61,485046925.36,90.7,231,220,2024-04-12,2026-08-15,100.0,1.45,False,Direct Bank Transfer,49734690.25
SIH26017-PRJ-000286,1253957794.14,951753965.75,75.9,92,68,2016-02-14,2026-08-15,100.0,1.77,False,Direct Bank Transfer,302203828.39
SIH26017-PRJ-000287,22043528385.41,16246080420.05,73.7,1704,1284,2020-03-26,2026-08-15,100.0,1.47,False,Direct Bank Transfer,5797447965.36
SIH26017-PRJ-000288,34126778735.54,0.0,0.0,1684,0,,,100.0,1.44,True,Direct Bank Transfer,34126778735.54
SIH26017-PRJ-000289,94881004.35,66606465.05,70.2,120,83,2021-04-06,2026-08-15,100.0,1.99,False,Direct Bank Transfer,28274539.3
SIH26017-PRJ-000290,24307037904.81,6514286158.49,26.8,2181,611,2018-12-24,2024-04-24,100.0,1.57,False,Direct Bank Transfer,17792751746.32
SIH26017-PRJ-000291,912156477.79,699624018.46,76.7,69,52,2019-01-06,2026-08-15,100.0,1.36,False,Direct Bank Transfer,212532459.33
SIH26017-PRJ-000292,608847654.63,0.0,0.0,170,0,,,100.0,1.17,False,Direct Bank Transfer,608847654.63
SIH26017-PRJ-000293,5770128333.94,3992928807.09,69.2,326,217,2023-03-07,2026-08-15,100.0,1.21,False,Direct Bank Transfer,1777199526.85
SIH26017-PRJ-000294,398942579.95,115693348.19,29.0,160,46,2020-03-20,2023-06-10,100.0,1.94,False,Direct Bank Transfer,283249231.76
SIH26017-PRJ-000295,29255787662.91,0.0,0.0,2965,0,,,100.0,1.28,False,Direct Bank Transfer,29255787662.91
SIH26017-PRJ-000296,418248620.84,293610531.83,70.2,27,19,2019-11-12,2026-08-15,100.0,1.0,False,Direct Bank Transfer,124638089.01
SIH26017-PRJ-000297,17162788413.04,0.0,0.0,1476,0,,,100.0,1.51,False,Cheque,17162788413.04
SIH26017-PRJ-000298,7876459611.89,6214526633.78,78.9,2922,2324,2023-09-10,2026-08-15,100.0,1.42,False,Direct Bank Transfer,1661932978.11
SIH26017-PRJ-000299,1781949043.38,1389920253.84,78.0,97,77,2022-05-12,2026-08-15,100.0,1.36,False,Direct Bank Transfer,392028789.54
SIH26017-PRJ-000300,692495879.39,650253630.75,93.9,56,51,2017-05-30,2026-08-15,100.0,1.43,False,Mixed,42242248.64
SIH26017-PRJ-000301,1405613264.48,1033125749.39,73.5,142,104,2019-11-12,2026-08-15,100.0,1.14,False,Direct Bank Transfer,372487515.09
SIH26017-PRJ-000302,2842167994.68,1602982749.0,56.4,401,227,2022-02-09,2024-12-02,100.0,1.29,True,Direct Bank Transfer,1239185245.68
SIH26017-PRJ-000303,100297370.97,60980801.55,60.8,25,15,2023-12-09,2026-08-15,100.0,1.69,False,Land-for-Land,39316569.42
SIH26017-PRJ-000304,2375023994.67,2215897387.03,93.3,148,144,2022-07-27,2026-08-15,100.0,1.67,False,Direct Bank Transfer,159126607.64
SIH26017-PRJ-000305,981940523.85,397685912.16,40.5,337,138,2024-05-30,2025-04-10,100.0,1.62,False,Land-for-Land,584254611.69
SIH26017-PRJ-000306,115721705.61,97090511.01,83.9,9,8,2020-09-27,2026-08-15,100.0,1.85,False,Mixed,18631194.6
SIH26017-PRJ-000307,28789141.43,25967805.57,90.2,15,14,2019-03-18,2026-08-15,100.0,1.6,False,Direct Bank Transfer,2821335.86
SIH26017-PRJ-000308,927486739.06,797638595.59,86.0,411,347,2021-10-22,2026-08-15,100.0,1.28,False,Mixed,129848143.47
SIH26017-PRJ-000309,513205384.54,372587109.18,72.6,45,32,2021-01-20,2026-08-15,100.0,1.23,False,Direct Bank Transfer,140618275.36
SIH26017-PRJ-000310,1745516991.64,0.0,0.0,275,0,,,100.0,1.38,False,Cheque,1745516991.64
SIH26017-PRJ-000311,22100540144.85,0.0,0.0,1112,0,,,100.0,1.14,False,Mixed,22100540144.85
SIH26017-PRJ-000312,19842961505.95,1131048805.84,5.7,1269,70,,2023-06-10,100.0,1.04,False,Direct Bank Transfer,18711912700.11
SIH26017-PRJ-000313,287539883.88,0.0,0.0,47,0,,,100.0,1.39,False,Direct Bank Transfer,287539883.88
SIH26017-PRJ-000314,223554744.95,0.0,0.0,225,0,,,100.0,2.0,False,Land-for-Land,223554744.95
SIH26017-PRJ-000315,190521089.62,137365705.62,72.1,112,82,2020-09-19,2026-08-15,100.0,1.33,False,Direct Bank Transfer,53155384.0
SIH26017-PRJ-000316,28419388888.97,19012571166.72,66.9,2392,1552,2022-03-27,2026-08-15,100.0,1.17,False,Direct Bank Transfer,9406817722.25
SIH26017-PRJ-000317,311285789.24,273620208.74,87.9,69,59,2017-01-28,2026-08-15,100.0,1.41,False,Direct Bank Transfer,37665580.5
SIH26017-PRJ-000318,400511265.84,312799298.62,78.1,163,134,2025-06-21,2026-04-04,100.0,1.26,False,Land-for-Land,87711967.22
SIH26017-PRJ-000319,24307250984.38,11084106448.88,45.6,3363,1514,2023-02-10,2024-12-17,100.0,1.51,False,Direct Bank Transfer,13223144535.5
SIH26017-PRJ-000320,3119998779.85,1397759453.37,44.8,416,196,2023-07-11,2025-01-10,100.0,2.0,True,Direct Bank Transfer,1722239326.48
SIH26017-PRJ-000321,16023669777.39,4118083132.79,25.7,1162,306,2026-04-22,2025-03-12,100.0,1.27,True,Direct Bank Transfer,11905586644.6
SIH26017-PRJ-000322,2291051523.61,1491474541.87,65.1,216,145,2022-07-15,2026-08-15,100.0,1.66,False,Direct Bank Transfer,799576981.74
SIH26017-PRJ-000323,1962753389.87,143280997.46,7.3,173,13,,2023-04-22,100.0,2.0,False,Direct Bank Transfer,1819472392.41
SIH26017-PRJ-000324,10377541403.41,2874578968.74,27.7,515,146,2024-02-16,2025-01-03,100.0,1.46,False,Direct Bank Transfer,7502962434.67
SIH26017-PRJ-000325,35936291332.53,8049729258.49,22.4,1852,406,2026-04-29,2025-12-24,100.0,1.67,False,Direct Bank Transfer,27886562074.04
SIH26017-PRJ-000326,10363388733.34,6591115234.4,63.6,798,514,2019-11-25,2026-08-15,100.0,1.0,False,Direct Bank Transfer,3772273498.94
SIH26017-PRJ-000327,4546977139.59,4342363168.31,95.5,351,331,2025-01-23,2026-08-15,100.0,1.43,True,Direct Bank Transfer,204613971.28
SIH26017-PRJ-000328,68512514.23,49466035.27,72.2,71,52,2021-07-17,2026-08-15,100.0,1.45,False,Direct Bank Transfer,19046478.96
SIH26017-PRJ-000329,54541852920.47,25361961608.02,46.5,2817,1354,2024-02-16,2025-03-29,100.0,1.0,False,Cheque,29179891312.45
SIH26017-PRJ-000330,256378897.73,144854077.22,56.5,30,18,2022-07-17,2026-08-15,100.0,1.71,False,Direct Bank Transfer,111524820.51
SIH26017-PRJ-000331,6869255624.34,4739786380.79,69.0,394,272,2018-08-04,2026-08-15,100.0,1.41,False,Direct Bank Transfer,2129469243.55
SIH26017-PRJ-000332,555034352.4,431261691.81,77.7,101,81,2024-07-18,2026-08-15,100.0,1.32,False,Direct Bank Transfer,123772660.59
SIH26017-PRJ-000333,2862060272.34,0.0,0.0,423,0,,,100.0,1.51,False,Direct Bank Transfer,2862060272.34
SIH26017-PRJ-000334,2396401975.77,0.0,0.0,443,0,,,100.0,1.38,False,Direct Bank Transfer,2396401975.77
SIH26017-PRJ-000335,42710444228.78,13880894374.35,32.5,2338,742,2025-05-10,2025-06-30,100.0,2.0,False,Direct Bank Transfer,28829549854.43
SIH26017-PRJ-000336,2833855548.84,1280902708.08,45.2,233,104,2020-06-02,2025-01-24,100.0,1.51,False,Land-for-Land,1552952840.76
SIH26017-PRJ-000337,139399139.98,71232960.53,51.1,7,4,2025-06-08,2025-10-19,100.0,1.41,False,Land-for-Land,68166179.45
SIH26017-PRJ-000338,3574300767.78,2441247424.39,68.3,189,131,2017-01-17,2026-08-15,100.0,1.1,False,Direct Bank Transfer,1133053343.39
SIH26017-PRJ-000339,18975450253.33,12751502570.24,67.2,1523,1031,2020-01-11,2026-08-15,100.0,1.23,False,Direct Bank Transfer,6223947683.09
SIH26017-PRJ-000340,1997451166.87,1422185230.81,71.2,351,259,2017-12-13,2026-08-15,100.0,1.83,False,Direct Bank Transfer,575265936.06
SIH26017-PRJ-000341,2635523571.37,848638589.98,32.2,312,99,2026-05-16,2025-08-23,100.0,1.0,False,Direct Bank Transfer,1786884981.39
SIH26017-PRJ-000342,743767033.95,0.0,0.0,65,0,,,100.0,1.55,False,Cheque,743767033.95
SIH26017-PRJ-000343,1100276679.0,84721304.28,7.7,85,6,,2025-03-16,100.0,1.0,True,Direct Bank Transfer,1015555374.72
SIH26017-PRJ-000344,1901156768.47,1796593146.2,94.5,181,170,2020-07-03,2026-08-15,100.0,1.99,False,Mixed,104563622.27
SIH26017-PRJ-000345,830825461.78,456954003.98,55.0,279,157,2022-08-23,2026-08-15,100.0,1.82,False,Direct Bank Transfer,373871457.8
SIH26017-PRJ-000346,94747354607.2,47278929948.99,49.9,4500,2259,2024-02-08,2025-04-22,100.0,1.54,False,Direct Bank Transfer,47468424658.21
SIH26017-PRJ-000347,3300903759.73,2026754908.47,61.4,1179,738,2021-04-28,2026-08-15,100.0,1.67,False,Direct Bank Transfer,1274148851.26
SIH26017-PRJ-000348,925869859.89,753658065.95,81.4,77,63,2025-04-05,2026-07-11,100.0,1.48,False,Mixed,172211793.94
SIH26017-PRJ-000349,203743398.14,138138023.94,67.8,105,73,2021-10-05,2026-08-15,100.0,1.34,False,Land-for-Land,65605374.2
SIH26017-PRJ-000350,1455084800.57,955990713.97,65.7,116,75,2020-07-20,2026-08-15,100.0,1.75,False,Mixed,499094086.6
SIH26017-PRJ-000351,5390021287.73,1142684513.0,21.2,2084,431,2025-06-06,2024-12-10,100.0,1.7,False,Mixed,4247336774.73
SIH26017-PRJ-000352,16997869612.82,0.0,0.0,3047,0,,,100.0,1.37,False,Direct Bank Transfer,16997869612.82
SIH26017-PRJ-000353,14492684727.14,695648866.9,4.8,1370,66,,2025-08-16,100.0,1.55,False,Direct Bank Transfer,13797035860.24
SIH26017-PRJ-000354,575048005.58,155838009.51,27.1,56,15,2026-03-18,2025-12-17,100.0,1.11,False,Direct Bank Transfer,419209996.07
SIH26017-PRJ-000355,23636096392.9,0.0,0.0,1554,0,,,100.0,1.26,False,Land-for-Land,23636096392.9
SIH26017-PRJ-000356,1407890263.26,1046062465.6,74.3,96,70,2025-01-03,2026-03-03,100.0,1.82,False,Direct Bank Transfer,361827797.66
SIH26017-PRJ-000357,65629980416.57,0.0,0.0,4370,0,,,100.0,1.19,False,Mixed,65629980416.57
SIH26017-PRJ-000358,6500006711.18,0.0,0.0,1542,0,,,100.0,1.75,False,Direct Bank Transfer,6500006711.18
SIH26017-PRJ-000359,5282201197.45,3338351156.79,63.2,2120,1344,2021-03-30,2026-08-15,100.0,1.36,True,Direct Bank Transfer,1943850040.66
SIH26017-PRJ-000360,3565202320.35,2313816305.91,64.9,427,284,2019-04-03,2026-08-15,100.0,1.42,False,Mixed,1251386014.44
SIH26017-PRJ-000361,197348679.99,130842174.83,66.3,38,26,2016-08-05,2026-08-15,100.0,1.19,False,Direct Bank Transfer,66506505.16
SIH26017-PRJ-000362,3489343481.01,2787985441.33,79.9,331,253,2020-03-05,2026-08-15,100.0,1.0,True,Direct Bank Transfer,701358039.68
SIH26017-PRJ-000363,7980150549.78,7772666635.49,97.4,610,583,2019-09-03,2026-08-15,100.0,1.51,False,Direct Bank Transfer,207483914.29
SIH26017-PRJ-000364,28964583538.53,17900112626.81,61.8,2461,1575,2022-09-16,2025-06-08,100.0,1.45,False,Land-for-Land,11064470911.72
SIH26017-PRJ-000365,7509201646.88,6450404214.67,85.9,733,645,2022-08-27,2026-08-15,100.0,1.51,False,Mixed,1058797432.21
SIH26017-PRJ-000366,1345657835.02,0.0,0.0,82,0,,,100.0,1.48,False,Mixed,1345657835.02
SIH26017-PRJ-000367,74077888890.68,0.0,0.0,4500,0,,,100.0,1.37,True,Land-for-Land,74077888890.68
SIH26017-PRJ-000368,3627524715.65,2804076605.2,77.3,376,299,2017-07-10,2026-08-15,100.0,1.31,False,Direct Bank Transfer,823448110.45
SIH26017-PRJ-000369,4963767507.58,3017970644.61,60.8,717,429,2017-11-13,2026-08-15,100.0,1.19,False,Land-for-Land,1945796862.97
SIH26017-PRJ-000370,1405923325.7,736703822.67,52.4,82,42,2016-10-26,2026-08-15,100.0,1.34,False,Direct Bank Transfer,669219503.03
SIH26017-PRJ-000371,74839921808.47,46251071677.63,61.8,4500,2870,2022-10-07,2026-08-15,100.0,1.17,False,Mixed,28588850130.84
SIH26017-PRJ-000372,2298796000.02,0.0,0.0,245,0,,,100.0,1.5,False,Direct Bank Transfer,2298796000.02
SIH26017-PRJ-000373,558838355.86,352627002.55,63.1,95,62,2018-11-11,2026-08-15,100.0,1.17,False,Direct Bank Transfer,206211353.31
SIH26017-PRJ-000374,11471510082.57,8683933132.51,75.7,692,524,2021-03-23,2026-08-15,100.0,1.47,False,Direct Bank Transfer,2787576950.06
SIH26017-PRJ-000375,614981082.99,402812609.36,65.5,66,42,2019-08-29,2026-08-15,100.0,1.76,False,Direct Bank Transfer,212168473.63
SIH26017-PRJ-000376,1904103737.64,1639433318.11,86.1,255,225,2025-07-06,2026-08-15,100.0,1.0,False,Direct Bank Transfer,264670419.53
SIH26017-PRJ-000377,43902751818.75,2326845846.39,5.3,3499,178,,2025-09-15,100.0,1.85,False,Direct Bank Transfer,41575905972.36
SIH26017-PRJ-000378,56290746391.0,53251046085.89,94.6,3299,3236,2020-10-25,2026-08-15,100.0,1.62,False,Direct Bank Transfer,3039700305.11
SIH26017-PRJ-000379,2162995927.62,1338894479.2,61.9,121,74,2022-01-13,2026-08-15,100.0,1.42,False,Mixed,824101448.42
SIH26017-PRJ-000380,1435224140.53,882662846.43,61.5,1735,1060,2024-10-20,2026-03-14,100.0,1.47,False,Direct Bank Transfer,552561294.1
SIH26017-PRJ-000381,24417574133.22,0.0,0.0,1434,0,,,100.0,1.57,False,Direct Bank Transfer,24417574133.22
SIH26017-PRJ-000382,43349661759.26,0.0,0.0,2346,0,,,100.0,1.35,False,Direct Bank Transfer,43349661759.26
SIH26017-PRJ-000383,684224869.61,0.0,0.0,80,0,,,100.0,1.69,False,Direct Bank Transfer,684224869.61
