project_id,number_of_khasra_parcels,number_of_landowners,percent_land_clear_title,percent_land_disputed_ownership,percent_absentee_landowners,land_record_digitization_status,mutation_pending_percent,encumbrance_certificate_status,consent_percent_obtained,gazette_notification_status,document_completeness_percent,record_last_updated_date
SIH26017-PRJ-000212,166,153,84.9,15.2,7.0,Partially Digitized,30.3,Clear,,Final Issued,66.0,2023-04-03
SIH26017-PRJ-000213,3758,3405,78.8,22.9,21.8,Fully Digitized,5.0,Clear,73.6,Final Issued,74.4,2026-08-15
SIH26017-PRJ-000214,233,156,96.3,5.1,9.1,Partially Digitized,5.0,Clear,,Final Issued,81.9,2026-08-15
SIH26017-PRJ-000215,2435,1983,66.2,39.4,34.1,Partially Digitized,36.0,Pending,,Final Issued,43.0,2023-03-20
SIH26017-PRJ-000216,204,181,59.8,44.9,24.5,Partially Digitized,23.3,Pending,,Final Issued,76.4,2025-06-06
SIH26017-PRJ-000217,966,838,64.2,33.5,17.1,Fully Digitized,5.0,Pending,73.2,Final Issued,72.7,2026-08-15
SIH26017-PRJ-000218,1041,957,79.8,20.1,5.2,Partially Digitized,48.9,Clear,67.6,Final Issued,49.4,2023-02-07
SIH26017-PRJ-000219,1679,1612,89.5,6.5,19.1,Partially Digitized,5.0,Clear,,Final Issued,75.7,2026-08-15
SIH26017-PRJ-000220,2613,1824,87.9,17.0,20.1,Not Digitized,5.0,Clear,,Final Issued,84.1,2026-08-15
SIH26017-PRJ-000221,38,30,99.6,0.4,2.6,Partially Digitized,5.0,Clear,,Final Issued,91.3,2026-08-15
SIH26017-PRJ-000222,2076,1580,61.5,48.0,19.4,Partially Digitized,5.0,Pending,,Final Issued,79.4,2026-08-15
SIH26017-PRJ-000223,869,660,40.8,56.5,18.1,Fully Digitized,65.4,Pending,,Not Issued,21.6,2021-08-16
SIH26017-PRJ-000224,231,165,81.5,13.9,13.4,Fully Digitized,5.0,Clear,,Final Issued,80.1,2026-08-15
SIH26017-PRJ-000225,2364,1937,76.4,20.2,17.6,Partially Digitized,5.0,Clear,54.9,Final Issued,82.4,2026-08-15
SIH26017-PRJ-000226,544,355,76.2,20.8,6.9,Partially Digitized,5.0,Clear,68.1,Final Issued,81.8,2026-08-15
SIH26017-PRJ-000227,24,16,81.0,28.6,26.8,Fully Digitized,28.6,Clear,,Final Issued,71.4,2025-06-03
SIH26017-PRJ-000228,164,132,49.2,56.1,9.7,Partially Digitized,27.7,Pending,,Final Issued,67.5,2026-01-17
SIH26017-PRJ-000229,566,394,74.3,29.0,17.1,Fully Digitized,22.7,Pending,,Final Issued,74.3,2025-05-20
SIH26017-PRJ-000230,249,198,76.5,17.6,11.5,Not Digitized,20.2,Clear,,Final Issued,73.1,2024-08-12
SIH26017-PRJ-000231,404,301,61.4,37.8,14.1,Not Digitized,5.0,Pending,,Final Issued,66.2,2026-08-15
SIH26017-PRJ-000232,160,98,46.0,50.3,26.9,Partially Digitized,27.4,Pending,,Final Issued,59.3,2025-06-03
SIH26017-PRJ-000233,313,202,87.2,10.5,11.2,Fully Digitized,11.7,Clear,,Final Issued,75.6,2025-10-18
SIH26017-PRJ-000234,23,15,66.8,37.6,26.9,Partially Digitized,5.0,Pending,,Final Issued,78.9,2026-08-15
SIH26017-PRJ-000235,180,114,59.4,45.5,18.6,Fully Digitized,10.9,Pending,63.1,Final Issued,78.0,2025-08-31
SIH26017-PRJ-000236,744,514,75.7,30.4,23.6,Partially Digitized,27.6,Clear,,Final Issued,57.8,2025-05-04
SIH26017-PRJ-000237,11,9,57.8,39.8,10.6,Fully Digitized,5.0,Pending,,Final Issued,62.6,2026-08-15
SIH26017-PRJ-000238,1483,1029,59.7,35.5,13.5,Fully Digitized,13.0,Pending,49.4,Final Issued,68.4,2025-09-11
SIH26017-PRJ-000239,94,69,82.1,16.1,12.2,Partially Digitized,5.0,Clear,,Final Issued,81.9,2026-08-15
SIH26017-PRJ-000240,94,55,81.4,13.7,16.9,Partially Digitized,5.0,Clear,,Final Issued,81.1,2026-08-15
SIH26017-PRJ-000241,3210,2154,72.8,28.0,9.6,Partially Digitized,10.9,Pending,,Final Issued,80.0,2025-10-18
SIH26017-PRJ-000242,210,170,53.0,53.2,19.2,Not Digitized,35.9,Pending,,Draft Issued,41.3,2025-05-01
SIH26017-PRJ-000243,6000,4500,61.9,33.0,19.0,Partially Digitized,34.2,Pending,48.4,Draft Issued,43.6,2025-01-24
SIH26017-PRJ-000244,70,53,83.0,13.7,8.8,Partially Digitized,5.0,Clear,,Final Issued,85.4,2026-08-15
SIH26017-PRJ-000245,973,955,56.9,45.1,18.8,Fully Digitized,5.0,Pending,,Final Issued,81.0,2026-08-15
SIH26017-PRJ-000246,4154,2514,47.7,56.2,37.8,Fully Digitized,11.8,Pending,60.8,Final Issued,72.8,2025-09-29
SIH26017-PRJ-000247,308,173,71.8,27.3,21.8,Not Digitized,5.0,Pending,,Final Issued,75.8,2026-08-15
SIH26017-PRJ-000248,178,130,58.8,33.8,14.2,Partially Digitized,5.0,Pending,,Final Issued,72.4,2026-08-15
SIH26017-PRJ-000249,188,119,100.0,3.1,14.6,Partially Digitized,5.0,Clear,,Final Issued,82.6,2026-08-15
SIH26017-PRJ-000250,81,46,80.6,18.4,26.6,Fully Digitized,5.0,Clear,,Final Issued,55.5,2026-08-15
SIH26017-PRJ-000251,143,91,57.3,52.6,14.6,Not Digitized,5.0,Pending,,Final Issued,72.9,2026-08-15
SIH26017-PRJ-000252,55,44,85.5,17.4,16.7,Partially Digitized,5.0,Clear,,Final Issued,73.5,2026-08-15
SIH26017-PRJ-000253,1400,910,61.6,33.4,6.1,Partially Digitized,72.9,Pending,,Not Issued,1.0,2016-10-19
SIH26017-PRJ-000254,377,230,69.5,23.5,15.5,Partially Digitized,5.0,Pending,,Final Issued,76.9,2026-08-15
SIH26017-PRJ-000255,237,157,53.9,51.8,14.3,Not Digitized,24.0,Pending,,Final Issued,70.0,2025-02-09
SIH26017-PRJ-000256,75,67,70.5,26.0,12.7,Fully Digitized,5.0,Pending,,Final Issued,84.2,2026-08-15
SIH26017-PRJ-000257,150,87,68.0,32.5,15.4,Partially Digitized,5.0,Pending,,Final Issued,91.6,2026-08-15
SIH26017-PRJ-000258,691,424,77.7,17.6,0.0,Partially Digitized,5.0,Clear,,Final Issued,73.3,2026-08-15
SIH26017-PRJ-000259,8,5,65.4,40.7,18.1,Partially Digitized,5.0,Pending,,Final Issued,68.6,2026-08-15
SIH26017-PRJ-000260,3149,2047,56.3,44.1,19.3,Fully Digitized,16.6,Pending,51.4,Final Issued,78.4,2025-02-21
SIH26017-PRJ-000261,2872,1992,56.4,39.1,19.9,Fully Digitized,5.0,Pending,,Final Issued,76.9,2026-08-15
SIH26017-PRJ-000262,16,15,83.8,11.8,15.7,Partially Digitized,5.0,Clear,,Final Issued,72.3,2026-08-15
SIH26017-PRJ-000263,136,116,79.7,13.0,12.5,Partially Digitized,5.0,Clear,41.7,Final Issued,91.6,2026-08-15
SIH26017-PRJ-000264,726,410,71.1,26.3,8.4,Partially Digitized,58.8,Pending,,Draft Issued,36.7,2023-10-27
SIH26017-PRJ-000265,236,138,54.0,49.7,8.6,Partially Digitized,5.0,Pending,,Final Issued,66.2,2026-08-15
SIH26017-PRJ-000266,6000,4500,74.7,36.3,21.7,Fully Digitized,72.9,Pending,71.9,Not Issued,28.1,2025-06-26
SIH26017-PRJ-000267,1339,1057,74.6,26.7,6.7,Partially Digitized,92.5,Pending,,Not Issued,12.2,2025-01-02
SIH26017-PRJ-000268,96,95,47.2,46.5,18.0,Partially Digitized,68.3,Pending,,Not Issued,25.7,2020-03-07
SIH26017-PRJ-000269,136,76,77.8,18.7,14.0,Partially Digitized,42.0,Clear,,Final Issued,53.5,2024-12-03
SIH26017-PRJ-000270,6000,3885,74.3,25.7,26.5,Partially Digitized,78.8,Pending,52.6,Not Issued,10.6,2022-09-20
SIH26017-PRJ-000271,78,75,74.1,23.0,15.9,Not Digitized,5.0,Pending,,Final Issued,81.6,2026-08-15
SIH26017-PRJ-000272,132,75,65.4,32.8,21.1,Partially Digitized,5.0,Pending,,Final Issued,78.7,2026-08-15
SIH26017-PRJ-000273,68,50,75.7,20.7,17.6,Not Digitized,5.0,Clear,,Final Issued,90.7,2026-08-15
SIH26017-PRJ-000274,2176,1289,57.8,41.2,25.8,Partially Digitized,22.0,Pending,70.4,Final Issued,53.0,2024-07-13
SIH26017-PRJ-000275,1366,988,69.3,22.4,23.3,Partially Digitized,46.6,Pending,,Final Issued,37.4,2022-01-23
SIH26017-PRJ-000276,488,362,63.6,35.1,11.9,Fully Digitized,33.0,Pending,,Final Issued,57.2,2024-11-02
SIH26017-PRJ-000277,3273,2938,64.8,35.4,20.7,Partially Digitized,5.0,Pending,56.6,Final Issued,65.1,2026-08-15
SIH26017-PRJ-000278,154,133,61.1,43.3,11.4,Partially Digitized,5.0,Pending,,Final Issued,83.7,2026-08-15
SIH26017-PRJ-000279,989,885,64.5,30.8,15.2,Not Digitized,23.5,Pending,,Final Issued,65.1,2024-07-29
SIH26017-PRJ-000280,11,9,76.7,22.6,10.8,Fully Digitized,5.0,Clear,,Final Issued,93.5,2026-08-15
SIH26017-PRJ-000281,5996,3371,76.4,21.0,22.0,Fully Digitized,71.6,Clear,38.6,Not Issued,17.3,2025-03-19
SIH26017-PRJ-000282,2156,1710,61.0,39.4,14.8,Not Digitized,51.4,Pending,62.1,Not Issued,9.9,2021-11-27
SIH26017-PRJ-000283,210,128,86.8,16.2,9.7,Partially Digitized,74.4,Clear,,Not Issued,11.7,2023-08-29
SIH26017-PRJ-000284,252,143,63.8,37.4,11.4,Not Digitized,5.0,Pending,,Final Issued,78.4,2026-08-15
SIH26017-PRJ-000285,308,231,83.9,16.7,18.2,Partially Digitized,5.0,Clear,,Final Issued,68.7,2026-08-15
SIH26017-PRJ-000286,111,92,97.6,3.4,9.5,Partially Digitized,5.0,Clear,,Final Issued,89.3,2026-08-15
SIH26017-PRJ-000287,2971,1704,77.6,23.2,17.4,Not Digitized,5.0,Clear,,Final Issued,88.5,2026-08-15
SIH26017-PRJ-000288,1875,1684,52.2,42.7,21.1,Partially Digitized,72.5,Pending,66.9,Not Issued,1.2,2017-02-08
SIH26017-PRJ-000289,128,120,71.2,35.3,24.9,Fully Digitized,5.0,Pending,,Final Issued,63.6,2026-08-15
SIH26017-PRJ-000290,3923,2181,67.7,37.3,23.4,Partially Digitized,28.8,Pending,,Final Issued,55.2,2024-04-24
SIH26017-PRJ-000291,71,69,78.5,23.3,9.7,Not Digitized,5.0,Clear,,Final Issued,77.9,2026-08-15
SIH26017-PRJ-000292,256,170,58.3,38.3,18.2,Fully Digitized,95.0,Pending,,Not Issued,1.2,2021-08-12
SIH26017-PRJ-000293,423,326,79.2,20.2,17.8,Fully Digitized,5.0,Clear,,Final Issued,77.3,2026-08-15
SIH26017-PRJ-000294,257,160,66.6,33.5,27.4,Partially Digitized,36.1,Pending,,Final Issued,44.0,2023-06-10
SIH26017-PRJ-000295,4047,2965,67.1,38.5,9.1,Partially Digitized,70.1,Pending,78.6,Not Issued,12.7,2023-03-16
SIH26017-PRJ-000296,30,27,72.7,27.6,11.0,Partially Digitized,5.0,Pending,,Final Issued,85.9,2026-08-15
SIH26017-PRJ-000297,1992,1476,60.8,37.3,11.8,Fully Digitized,75.7,Pending,,Not Issued,1.3,2021-11-09
SIH26017-PRJ-000298,4142,2922,88.4,9.0,9.5,Not Digitized,5.0,Clear,47.7,Final Issued,78.4,2026-08-15
SIH26017-PRJ-000299,105,97,68.2,34.7,15.2,Partially Digitized,5.0,Pending,,Final Issued,76.3,2026-08-15
SIH26017-PRJ-000300,80,56,83.5,24.1,12.5,Fully Digitized,5.0,Clear,,Final Issued,96.8,2026-08-15
SIH26017-PRJ-000301,215,142,74.7,19.6,24.2,Fully Digitized,5.0,Pending,,Final Issued,63.3,2026-08-15
SIH26017-PRJ-000302,499,401,77.7,20.9,8.2,Fully Digitized,19.8,Clear,,Final Issued,76.1,2024-12-02
SIH26017-PRJ-000303,38,25,58.7,41.4,13.9,Fully Digitized,5.0,Pending,,Final Issued,72.9,2026-08-15
SIH26017-PRJ-000304,227,148,99.9,2.5,8.8,Partially Digitized,5.0,Clear,,Final Issued,91.1,2026-08-15
SIH26017-PRJ-000305,360,337,58.5,40.4,11.7,Fully Digitized,19.9,Pending,,Final Issued,68.6,2025-04-10
SIH26017-PRJ-000306,15,9,79.6,22.1,0.0,Fully Digitized,5.0,Clear,,Final Issued,95.4,2026-08-15
SIH26017-PRJ-000307,18,15,85.1,9.5,9.0,Fully Digitized,5.0,Clear,,Final Issued,94.6,2026-08-15
SIH26017-PRJ-000308,651,411,69.2,23.6,13.6,Partially Digitized,5.0,Pending,,Final Issued,80.8,2026-08-15
SIH26017-PRJ-000309,78,45,84.2,15.6,9.4,Not Digitized,5.0,Clear,,Final Issued,97.5,2026-08-15
SIH26017-PRJ-000310,358,275,77.8,18.9,9.8,Fully Digitized,46.2,Clear,,Not Issued,13.0,2018-11-07
SIH26017-PRJ-000311,1192,1112,65.1,32.5,14.5,Not Digitized,49.0,Pending,52.9,Not Issued,13.5,2023-05-25
SIH26017-PRJ-000312,2178,1269,73.3,29.5,24.8,Partially Digitized,47.4,Pending,47.8,Final Issued,54.1,2023-06-10
SIH26017-PRJ-000313,72,47,77.9,23.2,13.9,Fully Digitized,60.1,Clear,,Not Issued,38.6,2025-03-13
SIH26017-PRJ-000314,360,225,70.0,23.6,13.3,Fully Digitized,79.5,Pending,,Not Issued,13.5,2025-02-20
SIH26017-PRJ-000315,176,112,59.4,35.2,17.3,Partially Digitized,5.0,Pending,,Final Issued,86.7,2026-08-15
SIH26017-PRJ-000316,3808,2392,68.2,33.8,21.6,Partially Digitized,5.0,Pending,67.3,Final Issued,66.5,2026-08-15
SIH26017-PRJ-000317,100,69,77.3,18.9,2.1,Fully Digitized,5.0,Clear,,Final Issued,76.6,2026-08-15
SIH26017-PRJ-000318,243,163,70.8,27.2,20.1,Partially Digitized,11.3,Pending,,Final Issued,84.4,2026-04-04
SIH26017-PRJ-000319,3393,3363,68.7,36.5,19.7,Partially Digitized,28.5,Pending,41.4,Final Issued,47.4,2024-12-17
SIH26017-PRJ-000320,747,416,53.9,48.9,12.1,Fully Digitized,21.7,Pending,,Final Issued,47.2,2025-01-10
SIH26017-PRJ-000321,1862,1162,64.6,35.6,29.1,Partially Digitized,38.0,Pending,,Final Issued,55.2,2025-03-12
SIH26017-PRJ-000322,293,216,52.2,55.2,11.0,Partially Digitized,5.0,Pending,,Final Issued,92.4,2026-08-15
SIH26017-PRJ-000323,261,173,67.8,40.3,29.2,Not Digitized,38.6,Pending,,Final Issued,54.0,2023-04-22
SIH26017-PRJ-000324,868,515,88.5,5.6,17.2,Fully Digitized,33.5,Clear,,Final Issued,57.4,2025-01-03
SIH26017-PRJ-000325,2737,1852,77.6,20.5,1.6,Fully Digitized,30.4,Clear,64.2,Final Issued,70.0,2025-12-24
SIH26017-PRJ-000326,1078,798,61.2,38.5,17.8,Fully Digitized,5.0,Pending,48.9,Final Issued,73.1,2026-08-15
SIH26017-PRJ-000327,377,351,78.4,15.5,1.1,Partially Digitized,5.0,Clear,,Final Issued,93.0,2026-08-15
SIH26017-PRJ-000328,94,71,68.7,27.6,14.5,Fully Digitized,5.0,Pending,,Final Issued,65.3,2026-08-15
SIH26017-PRJ-000329,3735,2817,55.7,34.7,27.4,Partially Digitized,21.8,Pending,33.8,Final Issued,67.7,2025-03-29
SIH26017-PRJ-000330,38,30,62.3,31.3,13.2,Partially Digitized,5.0,Pending,,Final Issued,82.9,2026-08-15
SIH26017-PRJ-000331,567,394,50.9,47.8,16.9,Partially Digitized,5.0,Pending,,Final Issued,66.0,2026-08-15
SIH26017-PRJ-000332,158,101,68.3,33.8,7.7,Not Digitized,5.0,Pending,,Final Issued,75.6,2026-08-15
SIH26017-PRJ-000333,474,423,87.5,10.6,19.3,Not Digitized,82.2,Clear,,Not Issued,12.5,2020-03-04
SIH26017-PRJ-000334,728,443,75.1,25.3,14.2,Partially Digitized,52.1,Clear,,Not Issued,26.9,2023-11-11
SIH26017-PRJ-000335,3145,2338,51.3,49.4,24.2,Not Digitized,27.2,Pending,,Final Issued,59.8,2025-06-30
SIH26017-PRJ-000336,410,233,71.3,25.6,11.1,Not Digitized,22.7,Pending,,Final Issued,70.8,2025-01-24
SIH26017-PRJ-000337,8,7,67.4,29.6,7.2,Partially Digitized,18.6,Pending,,Final Issued,63.0,2025-10-19
SIH26017-PRJ-000338,244,189,84.0,11.5,15.6,Not Digitized,5.0,Clear,,Final Issued,77.0,2026-08-15
SIH26017-PRJ-000339,2287,1523,78.1,18.8,13.2,Fully Digitized,5.0,Clear,,Final Issued,67.5,2026-08-15
SIH26017-PRJ-000340,374,351,76.4,24.6,20.9,Partially Digitized,5.0,Clear,,Final Issued,64.0,2026-08-15
SIH26017-PRJ-000341,510,312,71.1,27.9,10.5,Fully Digitized,34.9,Pending,,Final Issued,46.5,2025-08-23
SIH26017-PRJ-000342,83,65,66.2,25.9,19.5,Partially Digitized,70.4,Pending,,Not Issued,24.7,2020-07-25
SIH26017-PRJ-000343,123,85,69.5,24.5,25.7,Partially Digitized,44.0,Pending,,Draft Issued,46.6,2025-03-16
SIH26017-PRJ-000344,207,181,81.2,21.3,5.7,Partially Digitized,5.0,Clear,,Final Issued,83.5,2026-08-15
SIH26017-PRJ-000345,329,279,66.6,30.8,22.7,Partially Digitized,5.0,Pending,,Final Issued,74.0,2026-08-15
SIH26017-PRJ-000346,6000,4500,72.2,29.1,13.2,Fully Digitized,28.5,Pending,51.8,Final Issued,65.5,2025-04-22
SIH26017-PRJ-000347,1418,1179,94.2,6.4,19.6,Fully Digitized,5.0,Clear,,Final Issued,87.3,2026-08-15
SIH26017-PRJ-000348,89,77,59.8,34.4,16.5,Partially Digitized,5.0,Pending,,Final Issued,70.1,2026-07-11
SIH26017-PRJ-000349,148,105,91.8,5.5,1.2,Not Digitized,5.0,Clear,,Final Issued,77.8,2026-08-15
SIH26017-PRJ-000350,188,116,56.5,45.0,7.0,Fully Digitized,5.0,Pending,,Final Issued,77.7,2026-08-15
SIH26017-PRJ-000351,2104,2084,76.1,20.2,27.3,Fully Digitized,34.6,Clear,,Final Issued,45.7,2024-12-10
SIH26017-PRJ-000352,5232,3047,49.1,54.9,4.6,Partially Digitized,55.8,Pending,51.8,Draft Issued,31.3,2024-12-30
SIH26017-PRJ-000353,1446,1370,61.6,38.7,29.2,Partially Digitized,43.6,Pending,,Draft Issued,49.6,2025-08-16
SIH26017-PRJ-000354,67,56,83.9,14.1,9.7,Partially Digitized,32.2,Clear,,Final Issued,50.7,2025-12-17
SIH26017-PRJ-000355,1942,1554,75.5,24.5,10.6,Fully Digitized,52.9,Clear,58.3,Not Issued,32.8,2024-10-07
SIH26017-PRJ-000356,123,96,63.9,33.9,13.0,Not Digitized,13.3,Pending,,Final Issued,65.5,2026-03-03
SIH26017-PRJ-000357,5471,4370,63.3,23.0,10.4,Fully Digitized,95.0,Pending,65.3,Not Issued,1.1,2019-08-12
SIH26017-PRJ-000358,2059,1542,71.1,29.4,19.3,Not Digitized,83.6,Pending,,Not Issued,14.6,2021-12-30
SIH26017-PRJ-000359,2716,2120,54.9,55.5,18.5,Not Digitized,5.0,Pending,,Final Issued,75.8,2026-08-15
SIH26017-PRJ-000360,468,427,63.5,45.7,6.4,Partially Digitized,5.0,Pending,,Final Issued,66.7,2026-08-15
SIH26017-PRJ-000361,55,38,71.1,28.8,11.5,Partially Digitized,5.0,Pending,,Final Issued,70.0,2026-08-15
SIH26017-PRJ-000362,461,331,75.1,21.8,13.3,Partially Digitized,5.0,Clear,,Final Issued,66.3,2026-08-15
SIH26017-PRJ-000363,946,610,72.2,27.9,9.2,Not Digitized,5.0,Pending,78.3,Final Issued,93.0,2026-08-15
SIH26017-PRJ-000364,4227,2461,62.0,45.4,21.9,Partially Digitized,15.0,Pending,61.3,Final Issued,60.8,2025-06-08
SIH26017-PRJ-000365,794,733,66.9,27.9,10.1,Fully Digitized,5.0,Pending,,Final Issued,77.5,2026-08-15
SIH26017-PRJ-000366,144,82,93.0,17.3,4.2,Partially Digitized,63.6,Clear,,Not Issued,15.1,2019-11-06
SIH26017-PRJ-000367,6000,4500,51.6,44.3,18.8,Fully Digitized,76.2,Pending,70.3,Not Issued,21.5,2023-08-02
SIH26017-PRJ-000368,643,376,76.9,23.2,15.4,Partially Digitized,5.0,Clear,,Final Issued,79.2,2026-08-15
SIH26017-PRJ-000369,1125,717,69.0,33.0,14.7,Partially Digitized,5.0,Pending,,Final Issued,69.8,2026-08-15
SIH26017-PRJ-000370,144,82,62.2,42.6,6.0,Partially Digitized,5.0,Pending,,Final Issued,74.7,2026-08-15
SIH26017-PRJ-000371,6000,4500,72.1,26.6,19.1,Partially Digitized,5.0,Pending,49.0,Final Issued,59.4,2026-08-15
SIH26017-PRJ-000372,405,245,76.7,13.4,15.3,Partially Digitized,51.3,Clear,,Not Issued,37.5,2025-03-12
SIH26017-PRJ-000373,113,95,70.0,30.1,14.4,Fully Digitized,5.0,Pending,,Final Issued,81.9,2026-08-15
SIH26017-PRJ-000374,1102,692,78.6,22.8,13.0,Fully Digitized,5.0,Clear,66.1,Final Issued,79.7,2026-08-15
SIH26017-PRJ-000375,84,66,74.1,27.2,16.7,Fully Digitized,5.0,Pending,,Final Issued,77.7,2026-08-15
SIH26017-PRJ-000376,444,255,77.3,22.4,15.8,Partially Digitized,5.0,Clear,,Final Issued,96.6,2026-08-15
SIH26017-PRJ-000377,3507,3499,58.0,49.4,18.0,Partially Digitized,43.2,Pending,67.2,Draft Issued,39.6,2025-09-15
SIH26017-PRJ-000378,5722,3299,75.3,28.4,21.2,Partially Digitized,5.0,Clear,53.9,Final Issued,69.0,2026-08-15
SIH26017-PRJ-000379,184,121,79.8,19.9,22.4,Partially Digitized,5.0,Clear,,Final Issued,79.9,2026-08-15
SIH26017-PRJ-000380,2421,1735,69.9,30.2,24.5,Partially Digitized,10.2,Pending,,Final Issued,82.6,2026-03-14
SIH26017-PRJ-000381,2578,1434,69.5,27.2,26.2,Not Digitized,58.9,Pending,55.2,Draft Issued,40.0,2020-04-13
SIH26017-PRJ-000382,4204,2346,64.7,31.8,13.0,Partially Digitized,47.3,Pending,,Not Issued,30.8,2024-11-15
SIH26017-PRJ-000383,138,80,85.3,9.7,11.3,Not Digitized,68.3,Clear,,Draft Issued,37.1,2024-02-05
SIH26017-PRJ-000384,55,52,88.4,2.1,8.0,Partially Digitized,5.0,Clear,,Final Issued,86.0,2026-08-15
SIH26017-PRJ-000385,4625,2797,83.7,18.3,16.3,Partially Digitized,5.0,Clear,63.2,Final Issued,70.4,2026-08-15
SIH26017-PRJ-000386,254,144,78.3,28.6,1.1,Partially Digitized,19.9,Clear,,Final Issued,78.3,2025-07-11
SIH26017-PRJ-000387,109,68,74.3,21.4,21.7,Partially Digitized,5.0,Pending,,Final Issued,94.8,2026-08-15
SIH26017-PRJ-000388,4790,2808,65.5,30.2,16.7,Partially Digitized,5.0,Pending,,Final Issued,79.4,2026-08-15
SIH26017-PRJ-000389,6000,4500,77.8,22.6,19.8,Partially Digitized,67.7,Clear,50.9,Not Issued,22.2,2025-02-10
SIH26017-PRJ-000390,333,256,63.6,37.9,5.3,Fully Digitized,25.5,Pending,,Final Issued,81.6,2025-09-18
SIH26017-PRJ-000391,1121,919,75.2,27.8,26.0,Partially Digitized,53.6,Clear,,Draft Issued,36.1,2023-01-09
SIH26017-PRJ-000392,2939,1879,56.8,37.0,15.7,Partially Digitized,82.6,Pending,,Not Issued,0.9,2019-06-14
SIH26017-PRJ-000393,342,201,75.8,28.1,11.9,Partially Digitized,5.0,Clear,,Final Issued,80.9,2026-08-15
SIH26017-PRJ-000394,476,437,65.4,23.7,9.4,Partially Digitized,62.7,Pending,,Not Issued,1.0,2017-05-22
SIH26017-PRJ-000395,74,63,69.3,32.0,18.4,Partially Digitized,5.0,Pending,,Final Issued,84.9,2026-08-15
SIH26017-PRJ-000396,247,159,91.0,11.4,19.4,Partially Digitized,5.0,Clear,,Final Issued,70.2,2026-08-15
SIH26017-PRJ-000397,354,222,59.0,42.9,16.6,Not Digitized,81.1,Pending,53.1,Not Issued,22.5,2025-05-12
SIH26017-PRJ-000398,304,172,76.7,26.5,0.2,Not Digitized,5.0,Clear,,Final Issued,91.0,2026-08-15
SIH26017-PRJ-000399,67,41,81.5,29.1,15.7,Partially Digitized,5.0,Clear,,Final Issued,90.2,2026-08-15
SIH26017-PRJ-000400,3667,2406,55.8,44.4,29.7,Not Digitized,11.3,Pending,43.2,Final Issued,85.1,2025-06-01
SIH26017-PRJ-000401,67,50,89.4,18.4,20.9,Not Digitized,26.7,Clear,,Final Issued,60.2,2026-01-01
SIH26017-PRJ-000402,217,137,42.9,49.9,21.3,Partially Digitized,5.0,Pending,,Final Issued,77.6,2026-08-15
SIH26017-PRJ-000403,1225,1015,69.4,29.6,14.5,Partially Digitized,62.6,Pending,54.3,Not Issued,29.9,2025-05-26
SIH26017-PRJ-000404,208,138,60.1,36.7,20.1,Partially Digitized,5.0,Pending,,Final Issued,95.3,2026-08-15
SIH26017-PRJ-000405,148,110,35.3,60.0,18.1,Fully Digitized,5.0,Encumbered,,Final Issued,77.5,2026-08-15
SIH26017-PRJ-000406,3200,2863,62.9,36.4,8.5,Fully Digitized,5.0,Pending,61.7,Final Issued,77.1,2026-08-15
SIH26017-PRJ-000407,3103,1867,56.9,47.0,1.5,Partially Digitized,60.5,Pending,,Draft Issued,29.4,2022-01-31
SIH26017-PRJ-000408,40,26,60.6,46.0,20.5,Not Digitized,5.0,Pending,,Final Issued,81.4,2026-08-15
SIH26017-PRJ-000409,3068,1778,75.5,20.4,11.5,Fully Digitized,5.0,Clear,,Final Issued,85.5,2026-08-15
SIH26017-PRJ-000410,128,125,72.4,31.9,10.0,Not Digitized,5.0,Pending,,Final Issued,64.5,2026-08-15
SIH26017-PRJ-000411,255,228,75.2,29.2,18.8,Fully Digitized,5.0,Clear,,Final Issued,84.4,2026-08-15
SIH26017-PRJ-000412,34,24,80.2,13.3,13.1,Not Digitized,45.5,Clear,,Draft Issued,38.3,2021-03-07
SIH26017-PRJ-000413,238,193,76.9,30.0,6.0,Fully Digitized,5.0,Clear,,Final Issued,77.0,2026-08-15
SIH26017-PRJ-000414,2414,1612,71.1,33.8,16.8,Partially Digitized,65.1,Pending,58.0,Not Issued,41.1,2025-06-07
SIH26017-PRJ-000415,6000,4500,75.0,24.4,17.5,Fully Digitized,22.3,Pending,45.5,Final Issued,67.0,2025-03-06
SIH26017-PRJ-000416,89,66,72.5,28.5,8.3,Partially Digitized,5.0,Pending,,Final Issued,93.2,2026-08-15
SIH26017-PRJ-000417,13,11,64.3,33.6,18.3,Fully Digitized,47.3,Pending,,Final Issued,44.0,2022-01-17
SIH26017-PRJ-000418,607,377,92.3,9.2,13.8,Partially Digitized,53.1,Clear,,Not Issued,27.6,2021-10-17
SIH26017-PRJ-000419,55,48,64.3,27.3,19.5,Partially Digitized,5.0,Pending,,Final Issued,77.2,2026-08-15
SIH26017-PRJ-000420,50,44,69.2,35.2,12.6,Not Digitized,23.9,Pending,,Final Issued,64.4,2025-10-16
SIH26017-PRJ-000421,138,118,87.3,11.6,17.8,Partially Digitized,5.0,Clear,,Final Issued,77.2,2026-08-15
SIH26017-PRJ-000422,1811,1090,69.9,28.1,16.7,Fully Digitized,58.2,Pending,,Not Issued,11.6,2024-12-30
SIH26017-PRJ-000423,233,176,54.4,45.2,16.3,Partially Digitized,5.0,Pending,,Final Issued,95.2,2026-08-15
