project_id,case_id,case_type,court_level,filing_date,status,stay_order_active_flag,expected_resolution_date,actual_resolution_date,impact_on_project,number_of_petitioners
SIH26017-PRJ-000219,SIH26017-PRJ-000219-CASE-01,Compensation Quantum Dispute,District Court,2026-02-10,Pending,False,2026-12-07,,Low,5
SIH26017-PRJ-000219,SIH26017-PRJ-000219-CASE-02,Environmental Challenge,LA Authority/Tribunal,2025-12-02,Pending,True,2026-07-10,,High,4
SIH26017-PRJ-000220,SIH26017-PRJ-000220-CASE-01,Compensation Quantum Dispute,District Court,2022-01-03,Disposed-in-favor,False,2022-10-30,2022-06-07,Medium,3
SIH26017-PRJ-000220,SIH26017-PRJ-000220-CASE-02,Land Acquisition Validity,High Court,2020-01-24,Disposed-in-favor,False,2021-09-15,2021-03-09,High,4
SIH26017-PRJ-000225,SIH26017-PRJ-000225-CASE-01,Title Dispute,Supreme Court,2017-09-08,Disposed-in-favor,False,2020-04-15,2019-04-09,High,4
SIH26017-PRJ-000230,SIH26017-PRJ-000230-CASE-01,Public Interest Litigation,District Court,2021-11-25,Withdrawn,False,2022-09-21,2022-07-06,Medium,15
SIH26017-PRJ-000231,SIH26017-PRJ-000231-CASE-01,Land Acquisition Validity,District Court,2018-12-09,Disposed-in-favor,False,2019-10-05,2019-08-10,High,3
SIH26017-PRJ-000236,SIH26017-PRJ-000236-CASE-01,Public Interest Litigation,District Court,2024-09-07,Disposed-in-favor,False,2025-07-04,2025-05-30,Low,20
SIH26017-PRJ-000236,SIH26017-PRJ-000236-CASE-02,Title Dispute,LA Authority/Tribunal,2025-10-26,Pending,False,2026-06-03,,Low,3
SIH26017-PRJ-000237,SIH26017-PRJ-000237-CASE-01,Land Acquisition Validity,High Court,2017-09-11,Disposed-against,False,2019-05-04,2020-05-18,High,5
SIH26017-PRJ-000237,SIH26017-PRJ-000237-CASE-02,Compensation Quantum Dispute,District Court,2016-05-22,Disposed-in-favor,False,2017-03-18,2018-02-04,Low,4
SIH26017-PRJ-000237,SIH26017-PRJ-000237-CASE-03,Compensation Quantum Dispute,High Court,2017-10-19,Pending,False,2019-06-11,,High,6
SIH26017-PRJ-000240,SIH26017-PRJ-000240-CASE-01,Compensation Quantum Dispute,Supreme Court,2021-12-06,Pending,False,2024-07-13,,High,2
SIH26017-PRJ-000240,SIH26017-PRJ-000240-CASE-02,Title Dispute,District Court,2023-02-01,Disposed-against,False,2023-11-28,2023-10-24,Low,3
SIH26017-PRJ-000241,SIH26017-PRJ-000241-CASE-01,Public Interest Litigation,LA Authority/Tribunal,2024-03-19,Disposed-in-favor,False,2024-10-25,2024-10-12,Low,17
SIH26017-PRJ-000242,SIH26017-PRJ-000242-CASE-01,Public Interest Litigation,District Court,2027-02-22,Pending,False,2027-12-19,,Medium,23
SIH26017-PRJ-000245,SIH26017-PRJ-000245-CASE-01,Others,District Court,2023-10-09,Pending,False,2024-08-04,,Medium,1
SIH26017-PRJ-000247,SIH26017-PRJ-000247-CASE-01,Land Acquisition Validity,Supreme Court,2017-10-10,Pending,True,2020-05-17,,High,1
SIH26017-PRJ-000248,SIH26017-PRJ-000248-CASE-01,Environmental Challenge,High Court,2020-05-14,Disposed-against,False,2022-01-04,2022-09-01,High,3
SIH26017-PRJ-000249,SIH26017-PRJ-000249-CASE-01,Public Interest Litigation,District Court,2021-11-29,Disposed-in-favor,False,2022-09-25,2022-08-12,Medium,15
SIH26017-PRJ-000250,SIH26017-PRJ-000250-CASE-01,Title Dispute,LA Authority/Tribunal,2021-04-14,Pending,False,2021-11-20,,Low,4
SIH26017-PRJ-000251,SIH26017-PRJ-000251-CASE-01,Environmental Challenge,District Court,2017-01-29,Disposed-in-favor,False,2017-11-25,2018-01-25,High,3
SIH26017-PRJ-000251,SIH26017-PRJ-000251-CASE-02,Environmental Challenge,LA Authority/Tribunal,2017-01-03,Withdrawn,False,2017-08-11,2018-07-15,High,2
SIH26017-PRJ-000253,SIH26017-PRJ-000253-CASE-01,Public Interest Litigation,District Court,2019-01-15,Disposed-in-favor,False,2019-11-11,2020-03-28,Low,18
SIH26017-PRJ-000255,SIH26017-PRJ-000255-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2022-04-10,Withdrawn,False,2022-11-16,2023-01-13,Low,1
SIH26017-PRJ-000255,SIH26017-PRJ-000255-CASE-02,Title Dispute,High Court,2022-05-17,Disposed-in-favor,False,2024-01-07,2024-03-03,High,1
SIH26017-PRJ-000258,SIH26017-PRJ-000258-CASE-01,Title Dispute,LA Authority/Tribunal,2017-12-15,Disposed-in-favor,False,2018-07-23,2019-01-27,Medium,1
SIH26017-PRJ-000259,SIH26017-PRJ-000259-CASE-01,Public Interest Litigation,High Court,2016-04-02,Disposed-against,False,2017-11-23,2018-12-23,High,18
SIH26017-PRJ-000260,SIH26017-PRJ-000260-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2024-04-06,Pending,True,2024-11-12,,Medium,2
SIH26017-PRJ-000260,SIH26017-PRJ-000260-CASE-02,Compensation Quantum Dispute,High Court,2026-08-01,Pending,False,2028-03-23,,High,3
SIH26017-PRJ-000261,SIH26017-PRJ-000261-CASE-01,Compensation Quantum Dispute,District Court,2020-07-22,Disposed-in-favor,False,2021-05-18,2021-08-31,Low,6
SIH26017-PRJ-000263,SIH26017-PRJ-000263-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2022-05-05,Pending,False,2022-12-11,,Low,3
SIH26017-PRJ-000264,SIH26017-PRJ-000264-CASE-01,Land Acquisition Validity,District Court,2024-11-30,Disposed-against,False,2025-09-26,2026-04-17,High,4
SIH26017-PRJ-000264,SIH26017-PRJ-000264-CASE-02,Others,LA Authority/Tribunal,2024-02-05,Disposed-against,False,2024-09-12,2025-04-08,Medium,3
SIH26017-PRJ-000264,SIH26017-PRJ-000264-CASE-03,Title Dispute,High Court,2025-02-16,Disposed-against,False,2026-10-09,2026-05-02,High,2
SIH26017-PRJ-000265,SIH26017-PRJ-000265-CASE-01,Compensation Quantum Dispute,Supreme Court,2020-07-09,Pending,False,2023-02-14,,High,1
SIH26017-PRJ-000265,SIH26017-PRJ-000265-CASE-02,Title Dispute,High Court,2020-05-03,Disposed-in-favor,False,2021-12-24,2024-07-03,High,4
SIH26017-PRJ-000265,SIH26017-PRJ-000265-CASE-03,Title Dispute,LA Authority/Tribunal,2019-09-02,Disposed-in-favor,False,2020-04-09,2020-01-04,Low,2
SIH26017-PRJ-000265,SIH26017-PRJ-000265-CASE-04,Compensation Quantum Dispute,District Court,2019-10-27,Withdrawn,False,2020-08-22,2021-01-30,Medium,5
SIH26017-PRJ-000265,SIH26017-PRJ-000265-CASE-05,Others,LA Authority/Tribunal,2020-01-13,Disposed-in-favor,False,2020-08-20,2020-07-31,Medium,4
SIH26017-PRJ-000265,SIH26017-PRJ-000265-CASE-06,Environmental Challenge,High Court,2020-04-05,Disposed-in-favor,False,2021-11-26,2021-11-04,High,4
SIH26017-PRJ-000266,SIH26017-PRJ-000266-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2027-08-03,Pending,False,2028-03-10,,Medium,2
SIH26017-PRJ-000268,SIH26017-PRJ-000268-CASE-01,Title Dispute,High Court,2020-04-10,Disposed-in-favor,False,2021-12-01,2022-02-11,High,6
SIH26017-PRJ-000270,SIH26017-PRJ-000270-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2023-12-15,Disposed-in-favor,False,2024-07-22,2025-01-27,Low,10
SIH26017-PRJ-000271,SIH26017-PRJ-000271-CASE-01,Compensation Quantum Dispute,Supreme Court,2018-11-14,Disposed-in-favor,False,2021-06-21,2021-08-22,High,3
SIH26017-PRJ-000271,SIH26017-PRJ-000271-CASE-02,Environmental Challenge,District Court,2020-08-11,Disposed-in-favor,False,2021-06-07,2021-09-12,High,2
SIH26017-PRJ-000273,SIH26017-PRJ-000273-CASE-01,Compensation Quantum Dispute,High Court,2024-09-15,Withdrawn,False,2026-05-08,2026-08-01,High,2
SIH26017-PRJ-000273,SIH26017-PRJ-000273-CASE-02,Public Interest Litigation,LA Authority/Tribunal,2025-01-27,Pending,False,2025-09-04,,Low,19
SIH26017-PRJ-000274,SIH26017-PRJ-000274-CASE-01,Compensation Quantum Dispute,High Court,2023-08-12,Pending,False,2025-04-03,,High,3
SIH26017-PRJ-000274,SIH26017-PRJ-000274-CASE-02,Compensation Quantum Dispute,District Court,2020-07-28,Disposed-in-favor,False,2021-05-24,2021-08-12,Medium,4
SIH26017-PRJ-000274,SIH26017-PRJ-000274-CASE-03,Compensation Quantum Dispute,High Court,2026-03-09,Pending,False,2027-10-30,,High,1
SIH26017-PRJ-000278,SIH26017-PRJ-000278-CASE-01,Compensation Quantum Dispute,High Court,2022-08-15,Disposed-in-favor,False,2024-04-06,2024-01-19,High,5
SIH26017-PRJ-000280,SIH26017-PRJ-000280-CASE-01,Compensation Quantum Dispute,District Court,2022-04-16,Disposed-in-favor,False,2023-02-10,2023-08-27,Medium,2
SIH26017-PRJ-000284,SIH26017-PRJ-000284-CASE-01,Public Interest Litigation,High Court,2019-05-14,Pending,False,2021-01-03,,High,13
SIH26017-PRJ-000284,SIH26017-PRJ-000284-CASE-02,Title Dispute,District Court,2020-08-06,Pending,False,2021-06-02,,Low,2
SIH26017-PRJ-000285,SIH26017-PRJ-000285-CASE-01,Land Acquisition Validity,District Court,2023-11-11,Disposed-in-favor,False,2024-09-06,2024-05-10,High,3
SIH26017-PRJ-000288,SIH26017-PRJ-000288-CASE-01,Compensation Quantum Dispute,High Court,2023-03-13,Pending,False,2024-11-02,,High,3
SIH26017-PRJ-000290,SIH26017-PRJ-000290-CASE-01,Compensation Quantum Dispute,District Court,2022-02-13,Disposed-against,False,2022-12-10,2023-05-20,Low,1
SIH26017-PRJ-000292,SIH26017-PRJ-000292-CASE-01,Title Dispute,High Court,2024-01-18,Pending,False,2025-09-09,,High,3
SIH26017-PRJ-000293,SIH26017-PRJ-000293-CASE-01,Title Dispute,LA Authority/Tribunal,2023-04-05,Disposed-against,False,2023-11-11,2023-12-29,Low,1
SIH26017-PRJ-000295,SIH26017-PRJ-000295-CASE-01,Public Interest Litigation,District Court,2025-03-14,Disposed-in-favor,False,2026-01-08,2025-09-11,Medium,14
SIH26017-PRJ-000298,SIH26017-PRJ-000298-CASE-01,Title Dispute,District Court,2023-02-28,Disposed-in-favor,False,2023-12-25,2024-08-05,Medium,2
SIH26017-PRJ-000298,SIH26017-PRJ-000298-CASE-02,Compensation Quantum Dispute,LA Authority/Tribunal,2022-08-14,Disposed-against,False,2023-03-22,2023-06-10,Low,2
SIH26017-PRJ-000299,SIH26017-PRJ-000299-CASE-01,Title Dispute,High Court,2022-01-10,Withdrawn,False,2023-09-02,2023-07-18,High,5
SIH26017-PRJ-000300,SIH26017-PRJ-000300-CASE-01,Title Dispute,Supreme Court,2017-03-19,Disposed-in-favor,False,2019-10-25,2018-09-06,High,3
SIH26017-PRJ-000302,SIH26017-PRJ-000302-CASE-01,Compensation Quantum Dispute,High Court,2022-07-12,Pending,False,2024-03-03,,High,3
SIH26017-PRJ-000303,SIH26017-PRJ-000303-CASE-01,Others,LA Authority/Tribunal,2023-07-15,Pending,False,2024-02-20,,Medium,7
SIH26017-PRJ-000305,SIH26017-PRJ-000305-CASE-01,Public Interest Litigation,High Court,2028-05-27,Pending,True,2030-01-17,,High,18
SIH26017-PRJ-000305,SIH26017-PRJ-000305-CASE-02,Others,High Court,2026-02-21,Pending,False,2027-10-14,,High,3
SIH26017-PRJ-000305,SIH26017-PRJ-000305-CASE-03,Title Dispute,High Court,2025-03-18,Disposed-in-favor,False,2026-11-08,2026-06-10,High,4
SIH26017-PRJ-000310,SIH26017-PRJ-000310-CASE-01,Environmental Challenge,District Court,2023-09-22,Disposed-in-favor,False,2024-07-18,2024-10-02,High,6
SIH26017-PRJ-000314,SIH26017-PRJ-000314-CASE-01,Environmental Challenge,High Court,2026-11-12,Pending,True,2028-07-04,,High,1
SIH26017-PRJ-000318,SIH26017-PRJ-000318-CASE-01,Others,District Court,2024-09-05,Disposed-in-favor,False,2025-07-02,2025-02-14,Medium,6
SIH26017-PRJ-000319,SIH26017-PRJ-000319-CASE-01,Compensation Quantum Dispute,District Court,2027-04-10,Pending,False,2028-02-04,,Medium,1
SIH26017-PRJ-000319,SIH26017-PRJ-000319-CASE-02,Title Dispute,High Court,2021-11-26,Pending,False,2023-07-19,,High,1
SIH26017-PRJ-000320,SIH26017-PRJ-000320-CASE-01,Land Acquisition Validity,Supreme Court,2023-05-01,Pending,True,2025-12-06,,High,3
SIH26017-PRJ-000320,SIH26017-PRJ-000320-CASE-02,Others,District Court,2022-06-18,Pending,False,2023-04-14,,Medium,3
SIH26017-PRJ-000320,SIH26017-PRJ-000320-CASE-03,Compensation Quantum Dispute,District Court,2020-07-20,Pending,False,2021-05-16,,Low,5
SIH26017-PRJ-000321,SIH26017-PRJ-000321-CASE-01,Compensation Quantum Dispute,Supreme Court,2026-01-27,Pending,False,2028-09-03,,High,3
SIH26017-PRJ-000321,SIH26017-PRJ-000321-CASE-02,Title Dispute,High Court,2025-01-03,Pending,False,2026-08-26,,High,5
SIH26017-PRJ-000321,SIH26017-PRJ-000321-CASE-03,Public Interest Litigation,LA Authority/Tribunal,2026-04-23,Pending,False,2026-11-29,,Medium,26
SIH26017-PRJ-000323,SIH26017-PRJ-000323-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2023-12-08,Disposed-in-favor,False,2024-07-15,2025-02-02,Medium,2
SIH26017-PRJ-000324,SIH26017-PRJ-000324-CASE-01,Public Interest Litigation,Supreme Court,2024-07-17,Pending,True,2027-02-22,,High,20
SIH26017-PRJ-000324,SIH26017-PRJ-000324-CASE-02,Title Dispute,LA Authority/Tribunal,2022-06-04,Pending,True,2023-01-10,,Medium,3
SIH26017-PRJ-000325,SIH26017-PRJ-000325-CASE-01,Public Interest Litigation,High Court,2026-02-05,Pending,False,2027-09-28,,High,22
SIH26017-PRJ-000325,SIH26017-PRJ-000325-CASE-02,Public Interest Litigation,High Court,2027-12-01,Pending,False,2029-07-23,,High,23
SIH26017-PRJ-000327,SIH26017-PRJ-000327-CASE-01,Compensation Quantum Dispute,Supreme Court,2024-10-17,Pending,False,2027-05-25,,High,3
SIH26017-PRJ-000327,SIH26017-PRJ-000327-CASE-02,Compensation Quantum Dispute,District Court,2024-07-16,Disposed-in-favor,False,2025-05-12,2025-03-09,Low,1
SIH26017-PRJ-000328,SIH26017-PRJ-000328-CASE-01,Public Interest Litigation,High Court,2020-11-02,Disposed-against,False,2022-06-25,2022-08-27,High,19
SIH26017-PRJ-000329,SIH26017-PRJ-000329-CASE-01,Environmental Challenge,Supreme Court,2023-07-20,Withdrawn,False,2026-02-24,2025-06-14,High,3
SIH26017-PRJ-000331,SIH26017-PRJ-000331-CASE-01,Environmental Challenge,High Court,2020-08-31,Disposed-in-favor,False,2022-04-23,2022-03-29,High,3
SIH26017-PRJ-000332,SIH26017-PRJ-000332-CASE-01,Public Interest Litigation,District Court,2024-12-18,Disposed-in-favor,False,2025-10-14,2025-09-18,Low,24
SIH26017-PRJ-000332,SIH26017-PRJ-000332-CASE-02,Environmental Challenge,District Court,2024-01-26,Pending,False,2024-11-21,,High,2
SIH26017-PRJ-000336,SIH26017-PRJ-000336-CASE-01,Others,LA Authority/Tribunal,2023-12-01,Disposed-in-favor,False,2024-07-08,2024-04-11,Medium,1
SIH26017-PRJ-000339,SIH26017-PRJ-000339-CASE-01,Title Dispute,District Court,2022-11-23,Pending,True,2023-09-19,,Low,2
SIH26017-PRJ-000341,SIH26017-PRJ-000341-CASE-01,Title Dispute,District Court,2025-07-25,Disposed-in-favor,False,2026-05-21,2026-05-17,Low,4
SIH26017-PRJ-000341,SIH26017-PRJ-000341-CASE-02,Compensation Quantum Dispute,LA Authority/Tribunal,2026-01-16,Withdrawn,False,2026-08-24,2026-06-02,Medium,1
SIH26017-PRJ-000341,SIH26017-PRJ-000341-CASE-03,Land Acquisition Validity,High Court,2025-06-28,Pending,False,2027-02-18,,High,6
SIH26017-PRJ-000341,SIH26017-PRJ-000341-CASE-04,Public Interest Litigation,High Court,2024-08-20,Pending,True,2026-04-12,,High,18
SIH26017-PRJ-000343,SIH26017-PRJ-000343-CASE-01,Compensation Quantum Dispute,High Court,2029-04-22,Pending,False,2030-12-13,,High,1
SIH26017-PRJ-000343,SIH26017-PRJ-000343-CASE-02,Compensation Quantum Dispute,District Court,2026-07-25,Pending,True,2027-05-21,,Low,3
SIH26017-PRJ-000343,SIH26017-PRJ-000343-CASE-03,Compensation Quantum Dispute,District Court,2027-07-21,Pending,False,2028-05-16,,Medium,1
SIH26017-PRJ-000345,SIH26017-PRJ-000345-CASE-01,Public Interest Litigation,Supreme Court,2022-03-30,Pending,False,2024-11-04,,High,21
SIH26017-PRJ-000347,SIH26017-PRJ-000347-CASE-01,Public Interest Litigation,LA Authority/Tribunal,2020-06-02,Disposed-in-favor,False,2021-01-08,2021-01-22,Low,15
SIH26017-PRJ-000348,SIH26017-PRJ-000348-CASE-01,Environmental Challenge,District Court,2026-07-08,Pending,True,2027-05-04,,High,1
SIH26017-PRJ-000348,SIH26017-PRJ-000348-CASE-02,Others,District Court,2025-12-17,Pending,True,2026-10-13,,Medium,4
SIH26017-PRJ-000348,SIH26017-PRJ-000348-CASE-03,Compensation Quantum Dispute,LA Authority/Tribunal,2025-11-02,Withdrawn,False,2026-06-10,2026-06-07,Medium,5
SIH26017-PRJ-000349,SIH26017-PRJ-000349-CASE-01,Title Dispute,High Court,2021-09-20,Disposed-against,False,2023-05-13,2023-02-26,High,5
SIH26017-PRJ-000349,SIH26017-PRJ-000349-CASE-02,Compensation Quantum Dispute,High Court,2022-02-15,Disposed-against,False,2023-10-08,2022-11-18,High,3
SIH26017-PRJ-000351,SIH26017-PRJ-000351-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2026-12-31,Pending,False,2027-08-08,,Low,4
SIH26017-PRJ-000353,SIH26017-PRJ-000353-CASE-01,Environmental Challenge,Supreme Court,2029-11-02,Pending,False,2032-06-09,,High,6
SIH26017-PRJ-000355,SIH26017-PRJ-000355-CASE-01,Compensation Quantum Dispute,District Court,2024-10-16,Disposed-against,False,2025-08-12,2026-03-06,Low,6
SIH26017-PRJ-000355,SIH26017-PRJ-000355-CASE-02,Public Interest Litigation,LA Authority/Tribunal,2024-07-25,Disposed-against,False,2025-03-02,2025-01-27,Low,12
SIH26017-PRJ-000355,SIH26017-PRJ-000355-CASE-03,Compensation Quantum Dispute,District Court,2025-06-27,Disposed-in-favor,False,2026-04-23,2026-04-01,Medium,1
SIH26017-PRJ-000356,SIH26017-PRJ-000356-CASE-01,Title Dispute,High Court,2025-12-26,Pending,False,2027-08-18,,High,4
SIH26017-PRJ-000358,SIH26017-PRJ-000358-CASE-01,Title Dispute,High Court,2020-12-30,Disposed-in-favor,False,2022-08-22,2023-10-18,High,2
SIH26017-PRJ-000359,SIH26017-PRJ-000359-CASE-01,Compensation Quantum Dispute,District Court,2022-04-03,Pending,False,2023-01-28,,Medium,2
SIH26017-PRJ-000359,SIH26017-PRJ-000359-CASE-02,Compensation Quantum Dispute,High Court,2019-06-16,Disposed-in-favor,False,2021-02-05,2020-12-15,High,3
SIH26017-PRJ-000360,SIH26017-PRJ-000360-CASE-01,Land Acquisition Validity,High Court,2022-10-06,Pending,False,2024-05-28,,High,4
SIH26017-PRJ-000362,SIH26017-PRJ-000362-CASE-01,Compensation Quantum Dispute,District Court,2021-09-02,Pending,False,2022-06-29,,Low,2
SIH26017-PRJ-000363,SIH26017-PRJ-000363-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2019-10-10,Disposed-against,False,2020-05-17,2020-03-25,Low,3
SIH26017-PRJ-000363,SIH26017-PRJ-000363-CASE-02,Compensation Quantum Dispute,High Court,2020-04-02,Disposed-in-favor,False,2021-11-23,2021-05-16,High,3
SIH26017-PRJ-000366,SIH26017-PRJ-000366-CASE-01,Compensation Quantum Dispute,District Court,2019-11-13,Disposed-in-favor,False,2020-09-08,2020-08-28,Low,2
SIH26017-PRJ-000367,SIH26017-PRJ-000367-CASE-01,Land Acquisition Validity,District Court,2024-02-13,Disposed-against,False,2024-12-09,2025-07-02,High,2
SIH26017-PRJ-000367,SIH26017-PRJ-000367-CASE-02,Compensation Quantum Dispute,LA Authority/Tribunal,2024-08-17,Pending,False,2025-03-25,,Medium,1
SIH26017-PRJ-000368,SIH26017-PRJ-000368-CASE-01,Public Interest Litigation,District Court,2016-10-01,Disposed-against,False,2017-07-28,2017-05-08,Low,20
SIH26017-PRJ-000368,SIH26017-PRJ-000368-CASE-02,Public Interest Litigation,High Court,2017-07-21,Pending,False,2019-03-13,,High,22
SIH26017-PRJ-000369,SIH26017-PRJ-000369-CASE-01,Compensation Quantum Dispute,District Court,2018-08-13,Disposed-in-favor,False,2019-06-09,2019-05-19,Medium,4
SIH26017-PRJ-000377,SIH26017-PRJ-000377-CASE-01,Public Interest Litigation,District Court,2026-08-23,Pending,True,2027-06-19,,Low,15
SIH26017-PRJ-000379,SIH26017-PRJ-000379-CASE-01,Compensation Quantum Dispute,District Court,2021-11-09,Disposed-against,False,2022-09-05,2022-08-20,Medium,5
SIH26017-PRJ-000379,SIH26017-PRJ-000379-CASE-02,Compensation Quantum Dispute,District Court,2024-02-09,Disposed-in-favor,False,2024-12-05,2025-01-27,Medium,1
SIH26017-PRJ-000380,SIH26017-PRJ-000380-CASE-01,Title Dispute,District Court,2024-06-18,Disposed-in-favor,False,2025-04-14,2025-03-19,Medium,4
SIH26017-PRJ-000383,SIH26017-PRJ-000383-CASE-01,Environmental Challenge,District Court,2023-08-20,Disposed-against,False,2024-06-15,2024-06-01,High,2
SIH26017-PRJ-000385,SIH26017-PRJ-000385-CASE-01,Public Interest Litigation,LA Authority/Tribunal,2020-06-07,Disposed-against,False,2021-01-13,2021-03-23,Medium,22
SIH26017-PRJ-000385,SIH26017-PRJ-000385-CASE-02,Compensation Quantum Dispute,District Court,2017-06-22,Pending,False,2018-04-18,,Medium,3
SIH26017-PRJ-000385,SIH26017-PRJ-000385-CASE-03,Environmental Challenge,High Court,2018-07-07,Withdrawn,False,2020-02-27,2019-07-24,High,2
SIH26017-PRJ-000386,SIH26017-PRJ-000386-CASE-01,Compensation Quantum Dispute,District Court,2023-01-04,Disposed-against,False,2023-10-31,2024-01-08,Low,3
SIH26017-PRJ-000388,SIH26017-PRJ-000388-CASE-01,Others,High Court,2022-03-01,Disposed-in-favor,False,2023-10-22,2024-12-26,High,4
SIH26017-PRJ-000391,SIH26017-PRJ-000391-CASE-01,Title Dispute,LA Authority/Tribunal,2024-01-23,Pending,False,2024-08-30,,Medium,4
SIH26017-PRJ-000392,SIH26017-PRJ-000392-CASE-01,Public Interest Litigation,District Court,2024-04-19,Pending,False,2025-02-13,,Low,23
SIH26017-PRJ-000394,SIH26017-PRJ-000394-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2023-04-28,Disposed-in-favor,False,2023-12-04,2023-12-10,Low,3
SIH26017-PRJ-000394,SIH26017-PRJ-000394-CASE-02,Compensation Quantum Dispute,District Court,2022-04-07,Disposed-against,False,2023-02-01,2023-06-18,Medium,5
SIH26017-PRJ-000395,SIH26017-PRJ-000395-CASE-01,Land Acquisition Validity,District Court,2017-10-14,Disposed-against,False,2018-08-10,2018-08-25,High,3
SIH26017-PRJ-000396,SIH26017-PRJ-000396-CASE-01,Compensation Quantum Dispute,District Court,2019-12-11,Disposed-against,False,2020-10-06,2020-07-11,Medium,3
SIH26017-PRJ-000396,SIH26017-PRJ-000396-CASE-02,Compensation Quantum Dispute,District Court,2019-09-27,Disposed-against,False,2020-07-23,2020-11-09,Medium,5
SIH26017-PRJ-000397,SIH26017-PRJ-000397-CASE-01,Land Acquisition Validity,LA Authority/Tribunal,2025-07-30,Pending,True,2026-03-07,,High,2
SIH26017-PRJ-000399,SIH26017-PRJ-000399-CASE-01,Public Interest Litigation,High Court,2023-09-12,Disposed-in-favor,False,2025-05-04,2024-10-24,High,16
SIH26017-PRJ-000400,SIH26017-PRJ-000400-CASE-01,Environmental Challenge,District Court,2024-02-18,Disposed-against,False,2024-12-14,2024-10-14,High,1
SIH26017-PRJ-000400,SIH26017-PRJ-000400-CASE-02,Environmental Challenge,District Court,2020-09-09,Pending,True,2021-07-06,,High,4
SIH26017-PRJ-000402,SIH26017-PRJ-000402-CASE-01,Compensation Quantum Dispute,High Court,2020-11-30,Pending,True,2022-07-23,,High,2
SIH26017-PRJ-000404,SIH26017-PRJ-000404-CASE-01,Title Dispute,High Court,2022-07-02,Disposed-in-favor,False,2024-02-22,2026-02-15,High,2
SIH26017-PRJ-000405,SIH26017-PRJ-000405-CASE-01,Public Interest Litigation,District Court,2021-03-24,Pending,True,2022-01-18,,Medium,12
SIH26017-PRJ-000406,SIH26017-PRJ-000406-CASE-01,Title Dispute,District Court,2024-03-23,Pending,False,2025-01-17,,Medium,5
SIH26017-PRJ-000406,SIH26017-PRJ-000406-CASE-02,Environmental Challenge,LA Authority/Tribunal,2021-07-08,Disposed-in-favor,False,2022-02-13,2022-03-14,High,2
SIH26017-PRJ-000406,SIH26017-PRJ-000406-CASE-03,Compensation Quantum Dispute,LA Authority/Tribunal,2019-08-22,Disposed-in-favor,False,2020-03-29,2020-03-16,Low,5
SIH26017-PRJ-000408,SIH26017-PRJ-000408-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2024-09-05,Pending,False,2025-04-13,,Low,6
SIH26017-PRJ-000410,SIH26017-PRJ-000410-CASE-01,Environmental Challenge,District Court,2020-10-07,Disposed-in-favor,False,2021-08-03,2021-11-08,High,3
SIH26017-PRJ-000411,SIH26017-PRJ-000411-CASE-01,Compensation Quantum Dispute,District Court,2023-03-17,Pending,True,2024-01-11,,Medium,2
SIH26017-PRJ-000416,SIH26017-PRJ-000416-CASE-01,Title Dispute,District Court,2022-02-04,Withdrawn,False,2022-12-01,2023-04-08,Medium,3
SIH26017-PRJ-000418,SIH26017-PRJ-000418-CASE-01,Title Dispute,High Court,2023-06-30,Disposed-in-favor,False,2025-02-19,2024-08-12,High,8
SIH26017-PRJ-000419,SIH26017-PRJ-000419-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2022-08-13,Disposed-in-favor,False,2023-03-21,2023-12-16,Low,5
SIH26017-PRJ-000422,SIH26017-PRJ-000422-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2025-01-21,Disposed-in-favor,False,2025-08-29,2025-11-06,Medium,4
SIH26017-PRJ-000423,SIH26017-PRJ-000423-CASE-01,Compensation Quantum Dispute,LA Authority/Tribunal,2018-10-18,Disposed-in-favor,False,2019-05-26,2019-06-25,Low,3
SIH26017-PRJ-000424,SIH26017-PRJ-000424-CASE-01,Others,High Court,2017-05-13,Withdrawn,False,2019-01-03,2018-09-21,High,1
SIH26017-PRJ-000424,SIH26017-PRJ-000424-CASE-02,Compensation Quantum Dispute,High Court,2018-03-11,Pending,False,2019-11-01,,High,3
SIH26017-PRJ-000426,SIH26017-PRJ-000426-CASE-01,Public Interest Litigation,LA Authority/Tribunal,2025-10-03,Disposed-in-favor,False,2026-05-11,2026-03-12,Medium,26
SIH26017-PRJ-000426,SIH26017-PRJ-000426-CASE-02,Environmental Challenge,High Court,2024-11-19,Pending,True,2026-07-12,,High,4
SIH26017-PRJ-000426,SIH26017-PRJ-000426-CASE-03,Compensation Quantum Dispute,LA Authority/Tribunal,2026-09-27,Pending,False,2027-05-05,,Low,1
SIH26017-PRJ-000427,SIH26017-PRJ-000427-CASE-01,Compensation Quantum Dispute,District Court,2021-11-25,Withdrawn,False,2022-09-21,2023-03-21,Medium,1
