project_id,actual_land_acquisition_completion_date,project_status_current,land_acquisition_delay_days,land_acquisition_delay_category,resolution_known_date,outcome_as_of_date
SIH26017-PRJ-000309,2022-01-05,Completed,1.0,On-Time,2022-01-05,2026-08-15
SIH26017-PRJ-000310,,Stalled,,Stalled-Abandoned,2018-04-18,2026-08-15
SIH26017-PRJ-000311,,Stalled,,Stalled-Abandoned,2023-12-22,2026-08-15
SIH26017-PRJ-000312,,Stalled,,Stalled-Abandoned,2021-06-27,2026-08-15
SIH26017-PRJ-000313,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000314,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000315,2023-06-07,Completed,115.0,Minor Delay (<=6mo),2023-06-07,2026-08-15
SIH26017-PRJ-000316,2025-06-22,Completed,86.0,Minor Delay (<=6mo),2025-06-22,2026-08-15
SIH26017-PRJ-000317,2018-07-23,Completed,17.0,On-Time,2018-07-23,2026-08-15
SIH26017-PRJ-000318,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000319,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000320,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000321,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000322,2023-08-05,Completed,0.0,On-Time,2023-08-05,2026-08-15
SIH26017-PRJ-000323,,Stalled,,Stalled-Abandoned,2022-09-05,2026-08-15
SIH26017-PRJ-000324,,Stalled,,Stalled-Abandoned,2026-04-22,2026-08-15
SIH26017-PRJ-000325,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000326,2023-10-07,Completed,261.0,Major Delay (6-18mo),2023-10-07,2026-08-15
SIH26017-PRJ-000327,2025-12-08,Completed,-13.0,On-Time,2025-12-08,2026-08-15
SIH26017-PRJ-000328,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000329,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000330,2026-05-17,Completed,199.0,Major Delay (6-18mo),2026-05-17,2026-08-15
SIH26017-PRJ-000331,2022-11-25,Completed,173.0,Minor Delay (<=6mo),2022-11-25,2026-08-15
SIH26017-PRJ-000332,2025-05-22,Completed,22.0,On-Time,2025-05-22,2026-08-15
SIH26017-PRJ-000333,,Stalled,,Stalled-Abandoned,2019-10-04,2026-08-15
SIH26017-PRJ-000334,,Stalled,,Stalled-Abandoned,2023-09-23,2026-08-15
SIH26017-PRJ-000335,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000336,,Stalled,,Stalled-Abandoned,2021-11-10,2026-08-15
SIH26017-PRJ-000337,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000338,2018-06-15,Completed,0.0,On-Time,2018-06-15,2026-08-15
SIH26017-PRJ-000339,2023-05-02,Completed,20.0,On-Time,2023-05-02,2026-08-15
SIH26017-PRJ-000340,2023-05-20,Completed,103.0,Minor Delay (<=6mo),2023-05-20,2026-08-15
SIH26017-PRJ-000341,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000342,,Stalled,,Stalled-Abandoned,2019-05-06,2026-08-15
SIH26017-PRJ-000343,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000344,2021-03-18,Completed,-23.0,On-Time,2021-03-18,2026-08-15
SIH26017-PRJ-000345,2024-11-16,Completed,175.0,Minor Delay (<=6mo),2024-11-16,2026-08-15
SIH26017-PRJ-000346,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000347,2022-05-03,Completed,10.0,On-Time,2022-05-03,2026-08-15
SIH26017-PRJ-000348,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000349,2022-10-21,Completed,34.0,Minor Delay (<=6mo),2022-10-21,2026-08-15
SIH26017-PRJ-000350,2021-07-01,Completed,20.0,On-Time,2021-07-01,2026-08-15
SIH26017-PRJ-000351,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000352,,Stalled,,Stalled-Abandoned,2025-11-10,2026-08-15
SIH26017-PRJ-000353,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000354,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000355,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000356,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000357,,Stalled,,Stalled-Abandoned,2019-11-29,2026-08-15
SIH26017-PRJ-000358,,Stalled,,Stalled-Abandoned,2022-10-12,2026-08-15
SIH26017-PRJ-000359,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000360,2024-03-31,Completed,73.0,Minor Delay (<=6mo),2024-03-31,2026-08-15
SIH26017-PRJ-000361,2018-05-25,Completed,27.0,On-Time,2018-05-25,2026-08-15
SIH26017-PRJ-000362,2023-05-25,Completed,85.0,Minor Delay (<=6mo),2023-05-25,2026-08-15
SIH26017-PRJ-000363,2021-07-06,Completed,65.0,Minor Delay (<=6mo),2021-07-06,2026-08-15
SIH26017-PRJ-000364,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000365,2024-01-17,Completed,-4.0,On-Time,2024-01-17,2026-08-15
SIH26017-PRJ-000366,,Stalled,,Stalled-Abandoned,2019-05-10,2026-08-15
SIH26017-PRJ-000367,,Stalled,,Stalled-Abandoned,2024-04-09,2026-08-15
SIH26017-PRJ-000368,2018-09-12,Completed,16.0,On-Time,2018-09-12,2026-08-15
SIH26017-PRJ-000369,2019-07-17,Completed,-5.0,On-Time,2019-07-17,2026-08-15
SIH26017-PRJ-000370,2020-07-10,Completed,242.0,Major Delay (6-18mo),2020-07-10,2026-08-15
SIH26017-PRJ-000371,2025-09-26,Completed,106.0,Minor Delay (<=6mo),2025-09-26,2026-08-15
SIH26017-PRJ-000372,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000373,2019-11-26,Completed,0.0,On-Time,2019-11-26,2026-08-15
SIH26017-PRJ-000374,2023-03-19,Completed,-22.0,On-Time,2023-03-19,2026-08-15
SIH26017-PRJ-000375,2023-01-31,Completed,78.0,Minor Delay (<=6mo),2023-01-31,2026-08-15
SIH26017-PRJ-000376,2026-03-22,Completed,-20.0,On-Time,2026-03-22,2026-08-15
SIH26017-PRJ-000377,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000378,2022-10-10,Completed,96.0,Minor Delay (<=6mo),2022-10-10,2026-08-15
SIH26017-PRJ-000379,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000380,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000381,,Stalled,,Stalled-Abandoned,2018-04-27,2026-08-15
SIH26017-PRJ-000382,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000383,,Stalled,,Stalled-Abandoned,2024-04-28,2026-08-15
SIH26017-PRJ-000384,2023-05-12,Completed,-25.0,On-Time,2023-05-12,2026-08-15
SIH26017-PRJ-000385,2022-10-08,Completed,77.0,Minor Delay (<=6mo),2022-10-08,2026-08-15
SIH26017-PRJ-000386,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000387,2025-09-04,Completed,90.0,Minor Delay (<=6mo),2025-09-04,2026-08-15
SIH26017-PRJ-000388,2025-05-07,Completed,224.0,Major Delay (6-18mo),2025-05-07,2026-08-15
SIH26017-PRJ-000389,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000390,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000391,,Stalled,,Stalled-Abandoned,2022-02-17,2026-08-15
SIH26017-PRJ-000392,,Stalled,,Stalled-Abandoned,2019-07-21,2026-08-15
SIH26017-PRJ-000393,2022-10-13,Completed,154.0,Minor Delay (<=6mo),2022-10-13,2026-08-15
SIH26017-PRJ-000394,,Stalled,,Stalled-Abandoned,2017-05-17,2026-08-15
SIH26017-PRJ-000395,2021-04-13,Completed,107.0,Minor Delay (<=6mo),2021-04-13,2026-08-15
SIH26017-PRJ-000396,2024-05-13,Completed,44.0,Minor Delay (<=6mo),2024-05-13,2026-08-15
SIH26017-PRJ-000397,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000398,2019-03-11,Completed,4.0,On-Time,2019-03-11,2026-08-15
SIH26017-PRJ-000399,2026-04-25,Completed,67.0,Minor Delay (<=6mo),2026-04-25,2026-08-15
SIH26017-PRJ-000400,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000401,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000402,2023-06-07,Completed,155.0,Minor Delay (<=6mo),2023-06-07,2026-08-15
SIH26017-PRJ-000403,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000404,2025-05-26,Completed,194.0,Major Delay (6-18mo),2025-05-26,2026-08-15
SIH26017-PRJ-000405,2023-06-17,Completed,94.0,Minor Delay (<=6mo),2023-06-17,2026-08-15
SIH26017-PRJ-000406,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000407,,Stalled,,Stalled-Abandoned,2021-03-16,2026-08-15
SIH26017-PRJ-000408,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000409,2025-01-14,Completed,17.0,On-Time,2025-01-14,2026-08-15
SIH26017-PRJ-000410,2024-01-23,Completed,34.0,Minor Delay (<=6mo),2024-01-23,2026-08-15
SIH26017-PRJ-000411,2024-04-28,Completed,6.0,On-Time,2024-04-28,2026-08-15
SIH26017-PRJ-000412,,Stalled,,Stalled-Abandoned,2018-04-08,2026-08-15
SIH26017-PRJ-000413,2025-09-06,Completed,-31.0,On-Time,2025-09-06,2026-08-15
SIH26017-PRJ-000414,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000415,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000416,2025-12-24,Completed,-12.0,On-Time,2025-12-24,2026-08-15
SIH26017-PRJ-000417,,Stalled,,Stalled-Abandoned,2018-08-30,2026-08-15
SIH26017-PRJ-000418,,Stalled,,Stalled-Abandoned,2020-09-04,2026-08-15
SIH26017-PRJ-000419,2024-03-11,Completed,45.0,Minor Delay (<=6mo),2024-03-11,2026-08-15
SIH26017-PRJ-000420,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000421,2018-04-13,Completed,104.0,Minor Delay (<=6mo),2018-04-13,2026-08-15
SIH26017-PRJ-000422,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000423,2022-10-04,Completed,32.0,Minor Delay (<=6mo),2022-10-04,2026-08-15
SIH26017-PRJ-000424,2018-04-16,Completed,-2.0,On-Time,2018-04-16,2026-08-15
SIH26017-PRJ-000425,2023-11-21,Completed,121.0,Minor Delay (<=6mo),2023-11-21,2026-08-15
SIH26017-PRJ-000426,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000427,,Stalled,,Stalled-Abandoned,2016-11-18,2026-08-15
SIH26017-PRJ-000428,2020-07-02,Completed,20.0,On-Time,2020-07-02,2026-08-15
SIH26017-PRJ-000429,2025-10-11,Completed,399.0,Major Delay (6-18mo),2025-10-11,2026-08-15
SIH26017-PRJ-000430,2022-07-16,Completed,33.0,Minor Delay (<=6mo),2022-07-16,2026-08-15
SIH26017-PRJ-000431,2026-07-20,Completed,353.0,Major Delay (6-18mo),2026-07-20,2026-08-15
SIH26017-PRJ-000432,,Stalled,,Stalled-Abandoned,2023-11-08,2026-08-15
SIH26017-PRJ-000433,2025-10-17,Completed,54.0,Minor Delay (<=6mo),2025-10-17,2026-08-15
SIH26017-PRJ-000434,,Stalled,,Stalled-Abandoned,2017-05-17,2026-08-15
SIH26017-PRJ-000435,2025-10-05,Completed,116.0,Minor Delay (<=6mo),2025-10-05,2026-08-15
SIH26017-PRJ-000436,2020-09-08,Completed,-24.0,On-Time,2020-09-08,2026-08-15
SIH26017-PRJ-000437,2020-09-24,Completed,59.0,Minor Delay (<=6mo),2020-09-24,2026-08-15
SIH26017-PRJ-000438,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000439,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000440,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000441,2024-10-27,Completed,53.0,Minor Delay (<=6mo),2024-10-27,2026-08-15
SIH26017-PRJ-000442,2021-03-04,Completed,24.0,On-Time,2021-03-04,2026-08-15
SIH26017-PRJ-000443,2020-07-03,Completed,10.0,On-Time,2020-07-03,2026-08-15
SIH26017-PRJ-000444,,Stalled,,Stalled-Abandoned,2026-03-05,2026-08-15
SIH26017-PRJ-000445,2025-09-12,Completed,354.0,Major Delay (6-18mo),2025-09-12,2026-08-15
SIH26017-PRJ-000446,2023-02-26,Completed,-12.0,On-Time,2023-02-26,2026-08-15
SIH26017-PRJ-000447,,Stalled,,Stalled-Abandoned,2023-07-30,2026-08-15
SIH26017-PRJ-000448,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000449,2021-01-21,Completed,25.0,On-Time,2021-01-21,2026-08-15
SIH26017-PRJ-000450,,Stalled,,Stalled-Abandoned,2022-12-13,2026-08-15
SIH26017-PRJ-000451,,Stalled,,Stalled-Abandoned,2021-05-11,2026-08-15
SIH26017-PRJ-000452,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000453,2019-12-23,Completed,121.0,Minor Delay (<=6mo),2019-12-23,2026-08-15
SIH26017-PRJ-000454,,Stalled,,Stalled-Abandoned,2022-04-04,2026-08-15
SIH26017-PRJ-000455,2025-10-10,Completed,64.0,Minor Delay (<=6mo),2025-10-10,2026-08-15
SIH26017-PRJ-000456,2020-06-27,Completed,29.0,On-Time,2020-06-27,2026-08-15
SIH26017-PRJ-000457,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000458,2025-08-17,Completed,233.0,Major Delay (6-18mo),2025-08-17,2026-08-15
SIH26017-PRJ-000459,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000460,2019-05-31,Completed,-17.0,On-Time,2019-05-31,2026-08-15
SIH26017-PRJ-000461,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000462,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000463,2024-11-17,Completed,7.0,On-Time,2024-11-17,2026-08-15
SIH26017-PRJ-000464,2020-12-27,Completed,-1.0,On-Time,2020-12-27,2026-08-15
SIH26017-PRJ-000465,,Stalled,,Stalled-Abandoned,2020-12-16,2026-08-15
SIH26017-PRJ-000466,2026-08-06,Completed,81.0,Minor Delay (<=6mo),2026-08-06,2026-08-15
SIH26017-PRJ-000467,,Stalled,,Stalled-Abandoned,2024-09-13,2026-08-15
SIH26017-PRJ-000468,2025-10-26,Completed,36.0,Minor Delay (<=6mo),2025-10-26,2026-08-15
SIH26017-PRJ-000469,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000470,,Stalled,,Stalled-Abandoned,2023-01-27,2026-08-15
SIH26017-PRJ-000471,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000472,2026-04-13,Completed,-13.0,On-Time,2026-04-13,2026-08-15
SIH26017-PRJ-000473,2021-10-02,Completed,11.0,On-Time,2021-10-02,2026-08-15
SIH26017-PRJ-000474,2018-04-28,Completed,30.0,On-Time,2018-04-28,2026-08-15
SIH26017-PRJ-000475,2021-09-11,Completed,50.0,Minor Delay (<=6mo),2021-09-11,2026-08-15
SIH26017-PRJ-000476,2025-09-25,Completed,247.0,Major Delay (6-18mo),2025-09-25,2026-08-15
SIH26017-PRJ-000477,2020-02-18,Completed,46.0,Minor Delay (<=6mo),2020-02-18,2026-08-15
SIH26017-PRJ-000478,,Stalled,,Stalled-Abandoned,2017-10-04,2026-08-15
SIH26017-PRJ-000479,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000480,2019-10-21,Completed,114.0,Minor Delay (<=6mo),2019-10-21,2026-08-15
SIH26017-PRJ-000481,2022-10-28,Completed,57.0,Minor Delay (<=6mo),2022-10-28,2026-08-15
SIH26017-PRJ-000482,2023-06-25,Completed,11.0,On-Time,2023-06-25,2026-08-15
SIH26017-PRJ-000483,,Stalled,,Stalled-Abandoned,2017-08-25,2026-08-15
SIH26017-PRJ-000484,2025-11-01,Completed,165.0,Minor Delay (<=6mo),2025-11-01,2026-08-15
SIH26017-PRJ-000485,2024-04-18,Completed,13.0,On-Time,2024-04-18,2026-08-15
SIH26017-PRJ-000486,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000487,2022-05-15,Completed,94.0,Minor Delay (<=6mo),2022-05-15,2026-08-15
SIH26017-PRJ-000488,2022-01-26,Completed,62.0,Minor Delay (<=6mo),2022-01-26,2026-08-15
SIH26017-PRJ-000489,2025-09-09,Completed,62.0,Minor Delay (<=6mo),2025-09-09,2026-08-15
SIH26017-PRJ-000490,,Stalled,,Stalled-Abandoned,2016-07-03,2026-08-15
SIH26017-PRJ-000491,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000492,,Stalled,,Stalled-Abandoned,2017-11-14,2026-08-15
SIH26017-PRJ-000493,2023-01-25,Completed,17.0,On-Time,2023-01-25,2026-08-15
SIH26017-PRJ-000494,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000495,2022-01-23,Completed,28.0,On-Time,2022-01-23,2026-08-15
SIH26017-PRJ-000496,,Stalled,,Stalled-Abandoned,2026-02-27,2026-08-15
SIH26017-PRJ-000497,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000498,2022-10-05,Completed,38.0,Minor Delay (<=6mo),2022-10-05,2026-08-15
SIH26017-PRJ-000499,2019-09-09,Completed,-9.0,On-Time,2019-09-09,2026-08-15
SIH26017-PRJ-000500,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000501,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000502,2025-04-29,Completed,7.0,On-Time,2025-04-29,2026-08-15
SIH26017-PRJ-000503,2022-05-27,Completed,15.0,On-Time,2022-05-27,2026-08-15
SIH26017-PRJ-000504,2018-10-22,Completed,-4.0,On-Time,2018-10-22,2026-08-15
SIH26017-PRJ-000505,,Stalled,,Stalled-Abandoned,2021-09-26,2026-08-15
SIH26017-PRJ-000506,2022-02-22,Completed,79.0,Minor Delay (<=6mo),2022-02-22,2026-08-15
SIH26017-PRJ-000507,2020-09-02,Completed,30.0,On-Time,2020-09-02,2026-08-15
SIH26017-PRJ-000508,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000509,,Stalled,,Stalled-Abandoned,2021-08-12,2026-08-15
SIH26017-PRJ-000510,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000511,,Stalled,,Stalled-Abandoned,2019-12-15,2026-08-15
SIH26017-PRJ-000512,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000513,2024-01-25,Completed,52.0,Minor Delay (<=6mo),2024-01-25,2026-08-15
SIH26017-PRJ-000514,2023-03-11,Completed,16.0,On-Time,2023-03-11,2026-08-15
SIH26017-PRJ-000515,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000516,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000517,2022-12-18,Completed,-6.0,On-Time,2022-12-18,2026-08-15
SIH26017-PRJ-000518,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000519,,Stalled,,Stalled-Abandoned,2021-12-14,2026-08-15
SIH26017-PRJ-000520,,Stalled,,Stalled-Abandoned,2018-04-16,2026-08-15
SIH26017-PRJ-000521,,Stalled,,Stalled-Abandoned,2024-12-12,2026-08-15
SIH26017-PRJ-000522,2022-01-02,Completed,186.0,Major Delay (6-18mo),2022-01-02,2026-08-15
SIH26017-PRJ-000523,2026-01-22,Completed,144.0,Minor Delay (<=6mo),2026-01-22,2026-08-15
SIH26017-PRJ-000524,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000525,2026-08-01,Completed,3.0,On-Time,2026-08-01,2026-08-15
SIH26017-PRJ-000526,,Stalled,,Stalled-Abandoned,2018-04-26,2026-08-15
SIH26017-PRJ-000527,2024-09-30,Completed,128.0,Minor Delay (<=6mo),2024-09-30,2026-08-15
SIH26017-PRJ-000528,2023-05-23,Completed,234.0,Major Delay (6-18mo),2023-05-23,2026-08-15
SIH26017-PRJ-000529,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000530,2022-01-23,Completed,72.0,Minor Delay (<=6mo),2022-01-23,2026-08-15
SIH26017-PRJ-000531,2026-03-27,Completed,222.0,Major Delay (6-18mo),2026-03-27,2026-08-15
SIH26017-PRJ-000532,2022-08-04,Completed,133.0,Minor Delay (<=6mo),2022-08-04,2026-08-15
SIH26017-PRJ-000533,2025-03-18,Completed,175.0,Minor Delay (<=6mo),2025-03-18,2026-08-15
SIH26017-PRJ-000534,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000535,,Stalled,,Stalled-Abandoned,2025-05-11,2026-08-15
SIH26017-PRJ-000536,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000537,2024-02-26,Completed,100.0,Minor Delay (<=6mo),2024-02-26,2026-08-15
SIH26017-PRJ-000538,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000539,2025-08-19,Completed,74.0,Minor Delay (<=6mo),2025-08-19,2026-08-15
SIH26017-PRJ-000540,2020-04-02,Completed,-5.0,On-Time,2020-04-02,2026-08-15
SIH26017-PRJ-000541,2024-07-04,Completed,67.0,Minor Delay (<=6mo),2024-07-04,2026-08-15
SIH26017-PRJ-000542,,Stalled,,Stalled-Abandoned,2021-06-27,2026-08-15
SIH26017-PRJ-000543,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000544,2025-02-04,Completed,27.0,On-Time,2025-02-04,2026-08-15
SIH26017-PRJ-000545,,Stalled,,Stalled-Abandoned,2021-01-03,2026-08-15
SIH26017-PRJ-000546,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000547,,Stalled,,Stalled-Abandoned,2017-08-30,2026-08-15
SIH26017-PRJ-000548,2019-09-28,Completed,-20.0,On-Time,2019-09-28,2026-08-15
SIH26017-PRJ-000549,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000550,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000551,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000552,2019-03-12,Completed,-29.0,On-Time,2019-03-12,2026-08-15
SIH26017-PRJ-000553,2024-03-31,Completed,41.0,Minor Delay (<=6mo),2024-03-31,2026-08-15
SIH26017-PRJ-000554,,Stalled,,Stalled-Abandoned,2021-12-01,2026-08-15
SIH26017-PRJ-000555,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000556,,Stalled,,Stalled-Abandoned,2026-01-20,2026-08-15
SIH26017-PRJ-000557,,Stalled,,Stalled-Abandoned,2019-09-09,2026-08-15
SIH26017-PRJ-000558,2024-04-07,Completed,50.0,Minor Delay (<=6mo),2024-04-07,2026-08-15
SIH26017-PRJ-000559,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000560,2022-03-06,Completed,219.0,Major Delay (6-18mo),2022-03-06,2026-08-15
SIH26017-PRJ-000561,,Stalled,,Stalled-Abandoned,2025-06-14,2026-08-15
SIH26017-PRJ-000562,,Stalled,,Stalled-Abandoned,2021-10-06,2026-08-15
SIH26017-PRJ-000563,,Stalled,,Stalled-Abandoned,2023-06-25,2026-08-15
SIH26017-PRJ-000564,,Stalled,,Stalled-Abandoned,2022-03-28,2026-08-15
SIH26017-PRJ-000565,2020-06-19,Completed,-5.0,On-Time,2020-06-19,2026-08-15
SIH26017-PRJ-000566,2025-05-30,Completed,210.0,Major Delay (6-18mo),2025-05-30,2026-08-15
SIH26017-PRJ-000567,2026-03-19,Completed,374.0,Major Delay (6-18mo),2026-03-19,2026-08-15
SIH26017-PRJ-000568,,Stalled,,Stalled-Abandoned,2022-03-18,2026-08-15
SIH26017-PRJ-000569,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000570,,Stalled,,Stalled-Abandoned,2021-11-24,2026-08-15
SIH26017-PRJ-000571,2025-12-27,Completed,102.0,Minor Delay (<=6mo),2025-12-27,2026-08-15
SIH26017-PRJ-000572,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000573,2018-11-09,Completed,-16.0,On-Time,2018-11-09,2026-08-15
SIH26017-PRJ-000574,2020-03-05,Completed,2.0,On-Time,2020-03-05,2026-08-15
SIH26017-PRJ-000575,,Stalled,,Stalled-Abandoned,2024-11-21,2026-08-15
SIH26017-PRJ-000576,2020-08-05,Completed,-3.0,On-Time,2020-08-05,2026-08-15
SIH26017-PRJ-000577,2024-06-23,Completed,206.0,Major Delay (6-18mo),2024-06-23,2026-08-15
SIH26017-PRJ-000578,2019-02-26,Completed,45.0,Minor Delay (<=6mo),2019-02-26,2026-08-15
SIH26017-PRJ-000579,2020-06-10,Completed,71.0,Minor Delay (<=6mo),2020-06-10,2026-08-15
SIH26017-PRJ-000580,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000581,2024-11-02,Completed,3.0,On-Time,2024-11-02,2026-08-15
SIH26017-PRJ-000582,,Stalled,,Stalled-Abandoned,2024-05-27,2026-08-15
SIH26017-PRJ-000583,2022-11-12,Completed,52.0,Minor Delay (<=6mo),2022-11-12,2026-08-15
SIH26017-PRJ-000584,2022-08-18,Completed,24.0,On-Time,2022-08-18,2026-08-15
SIH26017-PRJ-000585,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000586,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000587,2024-06-02,Completed,-18.0,On-Time,2024-06-02,2026-08-15
SIH26017-PRJ-000588,,Stalled,,Stalled-Abandoned,2024-10-25,2026-08-15
SIH26017-PRJ-000589,,Stalled,,Stalled-Abandoned,2024-12-15,2026-08-15
SIH26017-PRJ-000590,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000591,,Stalled,,Stalled-Abandoned,2024-06-10,2026-08-15
SIH26017-PRJ-000592,,Ongoing,,,,2026-08-15
SIH26017-PRJ-000593,2022-02-09,Completed,4.0,On-Time,2022-02-09,2026-08-15
SIH26017-PRJ-000594,2025-06-17,Completed,276.0,Major Delay (6-18mo),2025-06-17,2026-08-15
SIH26017-PRJ-000595,2019-05-10,Completed,8.0,On-Time,2019-05-10,2026-08-15
SIH26017-PRJ-000596,2025-04-26,Completed,133.0,Minor Delay (<=6mo),2025-04-26,2026-08-15
SIH26017-PRJ-000597,2020-07-24,Completed,-6.0,On-Time,2020-07-24,2026-08-15
SIH26017-PRJ-000598,2023-03-02,Completed,121.0,Minor Delay (<=6mo),2023-03-02,2026-08-15
SIH26017-PRJ-000599,2026-07-21,Completed,239.0,Major Delay (6-18mo),2026-07-21,2026-08-15
SIH26017-PRJ-000600,,Ongoing,,,,2026-08-15
